Wavelength (nm), R
379.79, 20.542
380.54, 20.438
381.29, 20.109
382.04, 20.031
382.79, 20.055
383.54, 20.179
384.29, 20.236
385.04, 20.144
385.79, 20.207
386.54, 20.172
387.29, 19.933
388.04, 19.977
388.79, 19.85
389.54, 19.751
390.29, 19.878
391.04, 19.923
391.79, 19.947
392.54, 19.818
393.29, 19.6
394.04, 19.774
394.79, 19.89
395.54, 19.843
396.29, 19.852
397.04, 19.847
397.78, 19.753
398.53, 19.773
399.28, 19.861
400.03, 19.951
400.78, 20.003
401.53, 19.962
402.28, 19.889
403.03, 19.917
403.77, 19.803
404.52, 19.716
405.27, 19.879
406.02, 19.954
406.77, 19.816
407.52, 19.796
408.26, 19.786
409.01, 19.705
409.76, 19.651
410.51, 19.648
411.25, 19.668
412, 19.65
412.75, 19.546
413.5, 19.493
414.24, 19.54
414.99, 19.616
415.74, 19.663
416.49, 19.705
417.23, 19.721
417.98, 19.752
418.73, 19.733
419.47, 19.68
420.22, 19.658
420.97, 19.631
421.71, 19.626
422.46, 19.659
423.21, 19.729
423.95, 19.723
424.7, 19.694
425.45, 19.712
426.19, 19.689
426.94, 19.658
427.69, 19.674
428.43, 19.725
429.18, 19.809
429.92, 19.842
430.67, 19.794
431.41, 19.774
432.16, 19.768
432.91, 19.714
433.65, 19.696
434.4, 19.701
435.14, 19.67
435.89, 19.614
436.63, 19.58
437.38, 19.633
438.12, 19.713
438.87, 19.714
439.61, 19.708
440.36, 19.736
441.1, 19.748
441.85, 19.718
442.59, 19.706
443.34, 19.719
444.08, 19.766
444.82, 19.779
445.57, 19.744
446.31, 19.718
447.06, 19.74
447.8, 19.758
448.54, 19.79
449.29, 19.789
450.03, 19.779
450.78, 19.777
451.52, 19.81
452.26, 19.808
453.01, 19.822
453.75, 19.824
454.49, 19.838
455.24, 19.84
455.98, 19.853
456.72, 19.855
457.47, 19.848
458.21, 19.811
458.95, 19.806
459.7, 19.807
460.44, 19.817
461.18, 19.807
461.92, 19.81
462.67, 19.81
463.41, 19.831
464.15, 19.835
464.89, 19.822
465.64, 19.811
466.38, 19.807
467.12, 19.794
467.86, 19.81
468.6, 19.836
469.35, 19.861
470.09, 19.849
470.83, 19.839
471.57, 19.832
472.31, 19.835
473.05, 19.836
473.8, 19.818
474.54, 19.811
475.28, 19.798
476.02, 19.803
476.76, 19.838
477.5, 19.844
478.24, 19.836
478.98, 19.799
479.72, 19.799
480.47, 19.786
481.21, 19.8
481.95, 19.813
482.69, 19.832
483.43, 19.841
484.17, 19.868
484.91, 19.861
485.65, 19.86
486.39, 19.857
487.13, 19.877
487.87, 19.899
488.61, 19.89
489.35, 19.862
490.09, 19.849
490.83, 19.887
491.57, 19.905
492.31, 19.934
493.05, 19.944
493.79, 19.943
494.53, 19.929
495.26, 19.905
496, 19.959
496.74, 19.979
497.48, 19.993
498.22, 19.957
498.96, 19.961
499.7, 19.999
500.44, 20.02
501.18, 20.006
501.91, 19.987
502.65, 19.977
503.39, 20.004
504.13, 19.998
504.87, 20.01
505.61, 19.967
506.34, 19.974
507.08, 19.956
507.82, 19.996
508.56, 20.042
509.3, 20.072
510.03, 20.068
510.77, 20.004
511.51, 20.023
512.25, 20.004
512.98, 20.018
513.72, 19.959
514.46, 19.978
515.2, 20.035
515.93, 20.053
516.67, 20.08
517.41, 20.053
518.15, 20.11
518.88, 20.107
519.62, 20.102
520.36, 20.089
521.09, 20.076
521.83, 20.056
522.57, 20.074
523.3, 20.08
524.04, 20.125
524.77, 20.105
525.51, 20.103
526.25, 20.095
526.98, 20.108
527.72, 20.142
528.45, 20.164
529.19, 20.176
529.93, 20.176
530.66, 20.157
531.4, 20.153
532.13, 20.203
532.87, 20.219
533.6, 20.226
534.34, 20.149
535.07, 20.141
535.81, 20.164
536.54, 20.205
537.28, 20.203
538.01, 20.161
538.75, 20.153
539.48, 20.143
540.22, 20.209
540.95, 20.188
541.69, 20.246
542.42, 20.223
543.16, 20.244
543.89, 20.223
544.63, 20.215
545.36, 20.202
546.09, 20.198
546.83, 20.22
547.56, 20.22
548.3, 20.236
549.03, 20.245
549.76, 20.27
550.5, 20.302
551.23, 20.331
551.96, 20.349
552.7, 20.372
553.43, 20.341
554.16, 20.362
554.9, 20.395
555.63, 20.412
556.36, 20.389
557.1, 20.327
557.83, 20.336
558.56, 20.323
559.3, 20.326
560.03, 20.316
560.76, 20.33
561.49, 20.375
562.23, 20.415
562.96, 20.447
563.69, 20.479
564.42, 20.464
565.15, 20.456
565.89, 20.458
566.62, 20.495
567.35, 20.541
568.08, 20.564
568.81, 20.56
569.55, 20.539
570.28, 20.519
571.01, 20.491
571.74, 20.509
572.47, 20.53
573.2, 20.556
573.94, 20.562
574.67, 20.562
575.4, 20.557
576.13, 20.548
576.86, 20.561
577.59, 20.569
578.32, 20.586
579.05, 20.607
579.78, 20.609
580.51, 20.599
581.24, 20.598
581.97, 20.623
582.7, 20.651
583.43, 20.683
584.17, 20.693
584.9, 20.67
585.63, 20.629
586.36, 20.591
587.09, 20.554
587.82, 20.534
588.54, 20.548
589.27, 20.579
590, 20.599
590.73, 20.582
591.46, 20.572
592.19, 20.553
592.92, 20.518
593.65, 20.524
594.38, 20.539
595.11, 20.531
595.84, 20.538
596.57, 20.562
597.3, 20.547
598.03, 20.548
598.75, 20.553
599.48, 20.528
600.21, 20.53
600.94, 20.539
601.67, 20.527
602.4, 20.544
603.12, 20.537
603.85, 20.545
604.58, 20.54
605.31, 20.559
606.04, 20.575
606.77, 20.585
607.49, 20.598
608.22, 20.621
608.95, 20.583
609.68, 20.561
610.4, 20.52
611.13, 20.5
611.86, 20.491
612.59, 20.498
613.31, 20.497
614.04, 20.501
614.77, 20.501
615.49, 20.494
616.22, 20.493
616.95, 20.503
617.67, 20.482
618.4, 20.475
619.13, 20.483
619.85, 20.497
620.58, 20.526
621.31, 20.556
622.03, 20.554
622.76, 20.557
623.49, 20.55
624.21, 20.528
624.94, 20.521
625.66, 20.52
626.39, 20.505
627.12, 20.475
627.84, 20.488
628.57, 20.506
629.29, 20.496
630.02, 20.5
630.74, 20.52
631.47, 20.527
632.2, 20.508
632.92, 20.546
633.65, 20.549
634.37, 20.532
635.1, 20.523
635.82, 20.534
636.55, 20.52
637.27, 20.531
637.99, 20.555
638.72, 20.551
639.44, 20.562
640.17, 20.576
640.89, 20.584
641.62, 20.568
642.34, 20.57
643.07, 20.561
643.79, 20.562
644.51, 20.572
645.24, 20.561
645.96, 20.567
646.69, 20.573
647.41, 20.569
648.13, 20.575
648.86, 20.634
649.58, 20.646
650.3, 20.66
651.03, 20.657
651.75, 20.652
652.47, 20.637
653.2, 20.672
653.92, 20.693
654.64, 20.712
655.37, 20.732
656.09, 20.746
656.81, 20.708
657.53, 20.703
658.26, 20.706
658.98, 20.718
659.7, 20.721
660.42, 20.77
661.15, 20.761
661.87, 20.775
662.59, 20.779
663.31, 20.78
664.03, 20.764
664.76, 20.809
665.48, 20.807
666.2, 20.812
666.92, 20.847
667.64, 20.861
668.37, 20.858
669.09, 20.882
669.81, 20.917
670.53, 20.896
671.25, 20.884
671.97, 20.857
672.69, 20.863
673.41, 20.841
674.13, 20.856
674.86, 20.876
675.58, 20.905
676.3, 20.91
677.02, 20.92
677.74, 20.903
678.46, 20.894
679.18, 20.888
679.9, 20.893
680.62, 20.906
681.34, 20.95
682.06, 20.982
682.78, 20.998
683.5, 21.003
684.22, 20.998
684.94, 20.983
685.66, 20.979
686.38, 20.986
687.1, 21.019
687.82, 21.038
688.54, 21.052
689.26, 21.065
689.98, 21.073
690.7, 21.073
691.42, 21.081
692.13, 21.094
692.85, 21.095
693.57, 21.118
694.29, 21.142
695.01, 21.165
695.73, 21.176
696.45, 21.199
697.17, 21.22
697.88, 21.236
698.6, 21.235
699.32, 21.233
700.04, 21.231
700.76, 21.234
701.48, 21.253
702.19, 21.26
702.91, 21.269
703.63, 21.293
704.35, 21.321
705.07, 21.342
705.78, 21.357
706.5, 21.387
707.22, 21.41
707.94, 21.434
708.65, 21.444
709.37, 21.462
710.09, 21.489
710.81, 21.52
711.52, 21.553
712.24, 21.601
712.96, 21.654
713.67, 21.697
714.39, 21.724
715.11, 21.765
715.82, 21.807
716.54, 21.836
717.26, 21.856
717.97, 21.886
718.69, 21.924
719.41, 21.952
720.12, 21.967
720.84, 21.98
721.55, 21.992
722.27, 21.999
722.99, 22.009
723.7, 22.012
724.42, 22.017
725.13, 22.024
725.85, 22.038
726.56, 22.044
727.28, 22.035
727.99, 22.018
728.71, 22.009
729.43, 21.99
730.14, 21.979
730.86, 21.968
731.57, 21.949
732.29, 21.941
733, 21.938
733.71, 21.931
734.43, 21.927
735.14, 21.894
735.86, 21.87
736.57, 21.856
737.29, 21.832
738, 21.806
738.72, 21.798
739.43, 21.807
740.14, 21.837
740.86, 21.907
741.57, 22.021
742.29, 22.163
743, 22.375
743.71, 22.642
744.43, 22.987
745.14, 23.381
745.85, 23.809
746.57, 24.285
747.28, 24.8
747.99, 25.314
748.71, 25.827
749.42, 26.335
750.13, 26.835
750.85, 27.317
751.56, 27.783
752.27, 28.22
752.99, 28.635
753.7, 29.016
754.41, 29.372
755.12, 29.7
755.84, 29.998
756.55, 30.257
757.26, 30.492
757.97, 30.688
758.68, 30.873
759.4, 31.017
760.11, 31.147
760.82, 31.251
761.53, 31.36
762.24, 31.454
762.96, 31.561
763.67, 31.639
764.38, 31.731
765.09, 31.823
765.8, 31.903
766.51, 31.971
767.22, 32.016
767.94, 32.047
768.65, 32.094
769.36, 32.112
770.07, 32.13
770.78, 32.147
771.49, 32.179
772.2, 32.238
772.91, 32.283
773.62, 32.331
774.33, 32.379
775.04, 32.414
775.75, 32.439
776.46, 32.451
777.17, 32.456
777.88, 32.447
778.59, 32.434
779.3, 32.435
780.01, 32.429
780.72, 32.437
781.43, 32.45
782.14, 32.443
782.85, 32.461
783.56, 32.484
784.27, 32.49
784.98, 32.485
785.69, 32.484
786.4, 32.494
787.11, 32.503
787.82, 32.509
788.53, 32.491
789.24, 32.478
789.95, 32.493
790.65, 32.501
791.36, 32.484
792.07, 32.495
792.78, 32.494
793.49, 32.493
794.2, 32.507
794.91, 32.509
795.61, 32.51
796.32, 32.518
797.03, 32.497
797.74, 32.467
798.45, 32.466
799.15, 32.475
799.86, 32.47
800.57, 32.456
801.28, 32.451
801.98, 32.452
802.69, 32.452
803.4, 32.456
804.11, 32.442
804.81, 32.436
805.52, 32.444
806.23, 32.439
806.94, 32.423
807.64, 32.435
808.35, 32.443
809.06, 32.448
809.76, 32.441
810.47, 32.431
811.18, 32.422
811.88, 32.431
812.59, 32.435
813.3, 32.43
814, 32.423
814.71, 32.421
815.42, 32.426
816.12, 32.434
816.83, 32.443
817.53, 32.444
818.24, 32.44
818.94, 32.432
819.65, 32.432
820.36, 32.434
821.06, 32.428
821.77, 32.42
822.47, 32.406
823.18, 32.392
823.88, 32.39
824.59, 32.391
825.29, 32.381
826, 32.366
826.7, 32.35
827.41, 32.34
828.11, 32.339
828.82, 32.336
829.52, 32.322
830.23, 32.302
830.93, 32.295
831.64, 32.306
832.34, 32.315
833.05, 32.31
833.75, 32.31
834.45, 32.305
835.16, 32.304
835.86, 32.304
836.57, 32.3
837.27, 32.283
837.97, 32.266
838.68, 32.261
839.38, 32.258
840.08, 32.249
840.79, 32.235
841.49, 32.225
842.19, 32.223
842.9, 32.218
843.6, 32.218
844.3, 32.21
845.01, 32.194
845.71, 32.186
846.41, 32.193
847.12, 32.204
847.82, 32.201
848.52, 32.207
849.22, 32.205
849.93, 32.192
850.63, 32.193
851.33, 32.194
852.03, 32.178
852.74, 32.156
853.44, 32.156
854.14, 32.168
854.84, 32.171
855.54, 32.161
856.25, 32.166
856.95, 32.154
857.65, 32.152
858.35, 32.15
859.05, 32.145
859.75, 32.126
860.46, 32.095
861.16, 32.081
861.86, 32.088
862.56, 32.085
863.26, 32.086
863.96, 32.07
864.66, 32.052
865.36, 32.058
866.06, 32.06
866.76, 32.062
867.47, 32.059
868.17, 32.04
868.87, 32.022
869.57, 32.015
870.27, 32.009
870.97, 31.996
871.67, 31.982
872.37, 31.963
873.07, 31.955
873.77, 31.949
874.47, 31.956
875.17, 31.952
875.87, 31.95
876.57, 31.951
877.27, 31.954
877.97, 31.951
878.67, 31.931
879.36, 31.912
880.06, 31.9
880.76, 31.89
881.46, 31.891
882.16, 31.877
882.86, 31.868
883.56, 31.872
884.26, 31.868
884.96, 31.873
885.66, 31.892
886.35, 31.888
887.05, 31.887
887.75, 31.872
888.45, 31.88
889.15, 31.884
889.85, 31.89
890.54, 31.892
891.24, 31.892
891.94, 31.885
892.64, 31.881
893.34, 31.877
894.03, 31.884
894.73, 31.883
895.43, 31.878
896.13, 31.874
896.82, 31.862
897.52, 31.865
898.22, 31.868
898.92, 31.87
899.61, 31.864
900.31, 31.858
901.01, 31.846
901.71, 31.838
902.4, 31.825
903.1, 31.814
903.8, 31.804
904.49, 31.792
905.19, 31.782
905.89, 31.777
906.58, 31.777
907.28, 31.781
907.98, 31.78
908.67, 31.777
909.37, 31.784
910.06, 31.791
910.76, 31.798
911.46, 31.805
912.15, 31.813
912.85, 31.822
913.54, 31.818
914.24, 31.81
914.93, 31.815
915.63, 31.813
916.33, 31.801
917.02, 31.797
917.72, 31.795
918.41, 31.788
919.11, 31.78
919.8, 31.769
920.5, 31.758
921.19, 31.747
921.89, 31.738
922.58, 31.737
923.28, 31.747
923.97, 31.744
924.66, 31.739
925.36, 31.723
926.05, 31.707
926.75, 31.7
927.44, 31.697
928.14, 31.702
928.83, 31.708
929.52, 31.705
930.22, 31.697
930.91, 31.688
931.61, 31.676
932.3, 31.672
932.99, 31.688
933.69, 31.693
934.38, 31.685
935.07, 31.694
935.77, 31.691
936.46, 31.69
937.15, 31.693
937.85, 31.699
938.54, 31.708
939.23, 31.721
939.92, 31.722
940.62, 31.727
941.31, 31.732
942, 31.744
942.7, 31.729
943.39, 31.721
944.08, 31.703
944.77, 31.695
945.47, 31.682
946.16, 31.683
946.85, 31.682
947.54, 31.688
948.23, 31.683
948.93, 31.685
949.62, 31.68
950.31, 31.686
951, 31.69
951.69, 31.704
952.38, 31.712
953.08, 31.722
953.77, 31.705
954.46, 31.695
955.15, 31.679
955.84, 31.687
956.53, 31.692
957.22, 31.695
957.91, 31.69
958.6, 31.686
959.3, 31.679
959.99, 31.659
960.68, 31.652
961.37, 31.662
962.06, 31.666
962.75, 31.663
963.44, 31.643
964.13, 31.616
964.82, 31.619
965.51, 31.623
966.2, 31.626
