"Wavelength (nm)", "Transmittance (%)"
379.79, 3.255
380.54, 1.011
381.29, 0.81
382.04, -0.828
382.79, 0.264
383.54, 0.045
384.29, 0.972
385.04, 0.965
385.79, -0.146
386.54, -1.444
387.29, 0.209
388.04, -0.222
388.79, -1.24
389.54, -1.155
390.29, 0.138
391.04, 0.317
391.79, 0.176
392.54, 0.103
393.29, 0.031
394.04, 0.459
394.79, 0.452
395.54, 0.193
396.29, -0.207
397.04, -0.311
397.78, -0.35
398.53, 0.339
399.28, 0.949
400.03, 0.703
400.78, 0.62
401.53, 0.38
402.28, -0.213
403.03, -0.331
403.77, 0.451
404.52, 0.453
405.27, -0.33
406.02, 0.153
406.77, 0.614
407.52, 0.333
408.26, 0.128
409.01, 0.069
409.76, -0.108
410.51, -0.18
411.25, -0.025
412, 0.036
412.75, -0.25
413.5, -0.344
414.24, -0.409
414.99, -0.302
415.74, 0.348
416.49, 0.691
417.23, 0.425
417.98, -0.04
418.73, -0.193
419.47, -0.07
420.22, 0.282
420.97, 0.375
421.71, 0.204
422.46, 0.151
423.21, 0.134
423.95, 0.044
424.7, -0.05
425.45, -0.011
426.19, 0.053
426.94, -0.074
427.69, -0.24
428.43, -0.103
429.18, 0.138
429.92, 0.163
430.67, 0.061
431.41, -0.022
432.16, 0.082
432.91, 0.195
433.65, 0.171
434.4, 0.234
435.14, 0.241
435.89, 0.118
436.63, 0.071
437.38, 0.037
438.12, 0.052
438.87, 0.173
439.61, 0.217
440.36, 0.136
441.1, 0.153
441.85, 0.11
442.59, 0.141
443.34, 0.135
444.08, 0.089
444.82, 0.039
445.57, 0.106
446.31, 0.17
447.06, 0.192
447.8, 0.151
448.54, 0.045
449.29, 0.084
450.03, 0.209
450.78, 0.205
451.52, 0.061
452.26, -0.061
453.01, -0.034
453.75, 0.019
454.49, 0.092
455.24, 0.038
455.98, -0.042
456.72, -0.026
457.47, 0.042
458.21, 0.066
458.95, 0.033
459.7, -0.056
460.44, -0.128
461.18, -0.035
461.92, 0.091
462.67, 0.083
463.41, 0.059
464.15, 0.075
464.89, 0.031
465.64, 0.022
466.38, 0.023
467.12, 0.06
467.86, 0.05
468.6, 0.059
469.35, 0.118
470.09, 0.123
470.83, 0.068
471.57, 0.031
472.31, 0.085
473.05, 0.081
473.8, 0.002
474.54, -0.016
475.28, -0.039
476.02, -0.023
476.76, 0.019
477.5, 0.048
478.24, 0.031
478.98, 0.006
479.72, 0.022
480.47, 0.04
481.21, 0.039
481.95, 0.021
482.69, 0.021
483.43, 0.062
484.17, 0.068
484.91, 0.023
485.65, -0.01
486.39, 0.008
487.13, 0.01
487.87, -0.001
488.61, 0.032
489.35, 0.068
490.09, 0.028
490.83, 0.026
491.57, -0.01
492.31, 0.005
493.05, -0.085
493.79, -0.017
494.53, 0.029
495.26, 0.159
496, 0.188
496.74, 0.128
497.48, 0.008
498.22, -0.06
498.96, -0.001
499.7, 0.001
500.44, 0.001
501.18, 0.024
501.91, 0.171
502.65, 0.242
503.39, 0.23
504.13, 0.115
504.87, 0.088
505.61, 0.097
506.34, 0.112
507.08, 0.005
507.82, -0.064
508.56, -0.043
509.3, 0.063
510.03, 0.041
510.77, -0.051
511.51, -0.108
512.25, -0.11
512.98, 0.054
513.72, 0.144
514.46, 0.091
515.2, -0.134
515.93, -0.213
516.67, -0.144
517.41, -0.094
518.15, -0.036
518.88, 0.095
519.62, 0.201
520.36, 0.118
521.09, 0.038
521.83, -0.025
522.57, 0.073
523.3, 0.128
524.04, 0.128
524.77, 0.06
525.51, 0.019
526.25, 0.12
526.98, 0.074
527.72, 0.055
528.45, -0.104
529.19, -0.125
529.93, -0.088
530.66, 0.028
531.4, 0.028
532.13, -0.103
532.87, -0.158
533.6, -0.106
534.34, -0.007
535.07, -0.016
535.81, 0.035
536.54, 0.036
537.28, -0.009
538.01, -0.089
538.75, -0.154
539.48, -0.097
540.22, -0.084
540.95, -0.021
541.69, 0.034
542.42, 0.091
543.16, 0.109
543.89, 0.15
544.63, 0.065
545.36, -0.012
546.09, -0.164
546.83, -0.114
547.56, -0.087
548.3, 0.081
549.03, -0.048
549.76, -0.063
550.5, -0.064
551.23, -0.061
551.96, -0.036
552.7, -0.099
553.43, -0.126
554.16, -0.001
554.9, 0.004
555.63, 0.016
556.36, -0.001
557.1, -0.004
557.83, 0.121
558.56, 0.187
559.3, 0.216
560.03, 0.191
560.76, 0.111
561.49, 0.027
562.23, 0.047
562.96, 0.054
563.69, 0.124
564.42, 0.141
565.15, 0.062
565.89, 0.021
566.62, -0.052
567.35, -0.064
568.08, -0.153
568.81, -0.181
569.55, -0.199
570.28, -0.084
571.01, 0.005
571.74, 0.061
572.47, 0.035
573.2, 0.029
573.94, -0.017
574.67, 0.042
575.4, 0.067
576.13, 0.125
576.86, 0.098
577.59, 0.006
578.32, -0.082
579.05, -0.099
579.78, -0.052
580.51, 0.007
581.24, 0.056
581.97, 0.085
582.7, 0.114
583.43, 0.13
584.17, 0.094
584.9, 0.025
585.63, 0.051
586.36, 0.073
587.09, 0.068
587.82, 0.054
588.54, -0.036
589.27, -0.056
590, 0.022
590.73, 0.095
591.46, 0.181
592.19, 0.216
592.92, 0.108
593.65, 0.051
594.38, 0.04
595.11, -0.025
595.84, 0.027
596.57, 0.086
597.3, 0.075
598.03, 0.08
598.75, 0.073
599.48, 0.077
600.21, 0.121
600.94, 0.169
601.67, 0.214
602.4, 0.192
603.12, 0.134
603.85, 0.075
604.58, 0.083
605.31, 0.103
606.04, 0.143
606.77, 0.146
607.49, 0.143
608.22, 0.155
608.95, 0.132
609.68, 0.082
610.4, 0.106
611.13, 0.036
611.86, -0.003
612.59, 0.003
613.31, -0.034
614.04, -0.069
614.77, 0.011
615.49, 0.075
616.22, 0.159
616.95, 0.199
617.67, 0.184
618.4, 0.136
619.13, 0.099
619.85, 0.059
620.58, 0.112
621.31, 0.124
622.03, 0.146
622.76, 0.191
623.49, 0.185
624.21, 0.102
624.94, 0.058
625.66, 0.018
626.39, 0.027
627.12, 0.068
627.84, 0.126
628.57, 0.13
629.29, 0.101
630.02, 0.082
630.74, 0.013
631.47, -0.022
632.2, 0.003
632.92, 0.036
633.65, 0.081
634.37, 0.107
635.1, 0.085
635.82, 0.067
636.55, 0.053
637.27, -0.04
637.99, -0.017
638.72, 0
639.44, 0.015
640.17, 0.013
640.89, 0.046
641.62, -0.007
642.34, -0.012
643.07, -0.06
643.79, -0.045
644.51, 0.002
645.24, 0.098
645.96, 0.155
646.69, 0.193
647.41, 0.25
648.13, 0.322
648.86, 0.379
649.58, 0.418
650.3, 0.451
651.03, 0.467
651.75, 0.47
652.47, 0.476
653.2, 0.459
653.92, 0.471
654.64, 0.52
655.37, 0.524
656.09, 0.536
656.81, 0.527
657.53, 0.542
658.26, 0.523
658.98, 0.624
659.7, 0.613
660.42, 0.665
661.15, 0.744
661.87, 0.772
662.59, 0.688
663.31, 0.68
664.03, 0.713
664.76, 0.687
665.48, 0.707
666.2, 0.712
666.92, 0.76
667.64, 0.708
668.37, 0.727
669.09, 0.656
669.81, 0.675
670.53, 0.656
671.25, 0.722
671.97, 0.693
672.69, 0.717
673.41, 0.703
674.13, 0.72
674.86, 0.7
675.58, 0.731
676.3, 0.757
677.02, 0.779
677.74, 0.783
678.46, 0.755
679.18, 0.736
679.9, 0.737
680.62, 0.748
681.34, 0.718
682.06, 0.727
682.78, 0.724
683.5, 0.634
684.22, 0.568
684.94, 0.575
685.66, 0.578
686.38, 0.553
687.1, 0.573
687.82, 0.607
688.54, 0.593
689.26, 0.561
689.98, 0.573
690.7, 0.596
691.42, 0.604
692.13, 0.587
692.85, 0.611
693.57, 0.596
694.29, 0.555
695.01, 0.532
695.73, 0.552
696.45, 0.56
697.17, 0.572
697.88, 0.619
698.6, 0.638
699.32, 0.645
