Wafer#1 11.3mils thick EE535,
Wavelength (nm),R
2500,52.4943428
2499,52.44068909
2498,52.41814804
2497,52.41819763
2496,52.44981766
2495,52.40454865
2494,52.46375656
2493,52.42969513
2492,52.47175217
2491,52.44670105
2490,52.41598511
2489,52.44409561
2488,52.46186829
2487,52.4424057
2486,52.46042633
2485,52.44509125
2484,52.43787003
2483,52.48188782
2482,52.44254303
2481,52.46401978
2480,52.48403549
2479,52.44724274
2478,52.47403336
2477,52.48843384
2476,52.40724182
2475,52.46928406
2474,52.41773605
2473,52.45742798
2472,52.43391418
2471,52.44911194
2470,52.43597031
2469,52.45056152
2468,52.45768356
2467,52.43052292
2466,52.42186356
2465,52.42962646
2464,52.42827988
2463,52.43852234
2462,52.4307251
2461,52.43244934
2460,52.4646759
2459,52.4615097
2458,52.49717331
2457,52.47364807
2456,52.44462967
2455,52.49006653
2454,52.43812943
2453,52.4221077
2452,52.48957443
2451,52.45666504
2450,52.49875259
2449,52.47056961
2448,52.43764496
2447,52.45082855
2446,52.4376564
2445,52.50556564
2444,52.41347504
2443,52.44075012
2442,52.44174194
2441,52.48244476
2440,52.44007111
2439,52.46017075
2438,52.48190689
2437,52.4450531
2436,52.4010849
2435,52.43536758
2434,52.44493484
2433,52.44456482
2432,52.46955109
2431,52.45449448
2430,52.47148895
2429,52.50292587
2428,52.47880173
2427,52.46940231
2426,52.44949341
2425,52.4222374
2424,52.43748856
2423,52.42459106
2422,52.48950195
2421,52.47632217
2420,52.50019836
2419,52.39334106
2418,52.45727158
2417,52.41915512
2416,52.42886353
2415,52.48234177
2414,52.46681976
2413,52.54473114
2412,52.46517181
2411,52.48839188
2410,52.52073288
2409,52.42697144
2408,52.45446014
2407,52.46191788
2406,52.53766632
2405,52.46234131
2404,52.43958282
2403,52.47711563
2402,52.46198654
2401,52.50108337
2400,52.4678154
2399,52.50284195
2398,52.46707916
2397,52.45009613
2396,52.47529602
2395,52.43294907
2394,52.42961502
2393,52.46929932
2392,52.47277069
2391,52.46945572
2390,52.47976303
2389,52.49692154
2388,52.47991562
2387,52.43850327
2386,52.49320984
2385,52.44630051
2384,52.4632225
2383,52.49477005
2382,52.46231461
2381,52.46994019
2380,52.49869919
2379,52.47676468
2378,52.47567749
2377,52.47565079
2376,52.43996429
2375,52.48053741
2374,52.5059166
2373,52.48739243
2372,52.47088242
2371,52.43992233
2370,52.47079849
2369,52.50579071
2368,52.50320435
2367,52.4742775
2366,52.48077393
2365,52.47502899
2364,52.50510025
2363,52.52047348
2362,52.54727173
2361,52.5670929
2360,52.5412674
2359,52.53532028
2358,52.49971008
2357,52.473526
2356,52.43050385
2355,52.51643753
2354,52.5398674
2353,52.49622345
2352,52.50949097
2351,52.50263977
2350,52.52715302
2349,52.52391052
2348,52.50810242
2347,52.51151276
2346,52.50857544
2345,52.52659988
2344,52.46969986
2343,52.522995
2342,52.49209595
2341,52.52519226
2340,52.54308701
2339,52.55103302
2338,52.53549957
2337,52.53622055
2336,52.5255394
2335,52.52295303
2334,52.55032349
2333,52.50069046
2332,52.55983353
2331,52.61590576
2330,52.55464935
2329,52.57526779
2328,52.56305313
2327,52.52382278
2326,52.52906036
