Wafer#2 7.8mils thick EE535,
Wavelength (nm),Abs
1050,0.441274881
1049,0.446716219
1048,0.451799542
1047,0.457394809
1046,0.462992787
1045,0.468557805
1044,0.474647135
1043,0.480914563
1042,0.48705861
1041,0.493456364
1040,0.499851733
1039,0.506435752
1038,0.513297439
1037,0.520689607
1036,0.527800262
1035,0.534848392
1034,0.542117178
1033,0.54934293
1032,0.556865037
1031,0.564885259
1030,0.572595656
1029,0.580442905
1028,0.588516057
1027,0.596997261
1026,0.605046928
1025,0.613535762
1024,0.622115672
1023,0.631003678
1022,0.639677107
1021,0.648831308
1020,0.657857537
1019,0.66694361
1018,0.676240206
1017,0.686247647
1016,0.695409
1015,0.705024421
1014,0.714643955
1013,0.724515021
1012,0.734914661
1011,0.745051742
1010,0.75578171
1009,0.765811026
1008,0.776209116
1007,0.787538588
1006,0.798170269
1005,0.809267819
1004,0.820676208
1003,0.832352221
1002,0.843546152
1001,0.854676366
1000,0.866157115
999,0.87840724
998,0.890612483
997,0.902295888
996,0.91459316
995,0.926670551
994,0.938769758
993,0.951150358
992,0.963926613
991,0.977408528
990,0.990811288
989,1.003926396
988,1.016516209
987,1.030331016
986,1.044183016
985,1.058428407
984,1.071187973
983,1.086348414
982,1.099744558
981,1.114057541
980,1.129176855
979,1.146105409
978,1.161082029
977,1.175035954
976,1.190432906
975,1.204598546
974,1.221327186
973,1.238266826
972,1.254117608
971,1.269367099
970,1.286334157
969,1.301867962
968,1.319432378
967,1.334833145
966,1.353274226
965,1.36887908
964,1.386637807
963,1.404603958
962,1.421675324
961,1.442042112
960,1.463543296
959,1.479876041
958,1.498238087
957,1.516059399
956,1.534915566
955,1.556752443
954,1.573551774
953,1.594181657
952,1.61549449
951,1.635023236
950,1.655645847
949,1.67607224
948,1.694017291
947,1.717177153
946,1.738904834
945,1.755284548
944,1.78081429
943,1.801215053
942,1.825907946
941,1.843823195
940,1.868946671
939,1.894296288
938,1.919296861
937,1.937051654
936,1.959913611
935,1.978856444
934,2.008181095
933,2.028992176
932,2.054119825
931,2.077639341
930,2.106182098
929,2.124845266
928,2.153777599
927,2.17453146
926,2.199573278
925,2.223621845
924,2.259888411
923,2.282232046
922,2.308160543
921,2.327705383
920,2.362086058
919,2.375990868
918,2.419490576
917,2.450165272
916,2.467033863
915,2.49254632
914,2.546567678
913,2.564796686
912,2.568351507
911,2.606559277
910,2.602883101
909,2.638808012
908,2.676706791
907,2.712781668
906,2.75775671
905,2.777130365
904,2.777668238
903,2.805292606
902,2.841166496
901,2.916774035
900,2.968561888
899,2.941963434
898,3.019739389
897,3.049721479
896,3.02658844
895,3.068054438
894,3.091572046
893,3.158723593
892,3.0710783
891,3.213561058
890,3.2285707
889,3.188822269
888,3.341677904
887,3.287604809
886,3.390803099
885,3.34680748
884,3.435275555
883,3.441670418
882,3.587554455
881,3.38645649
880,3.613574266
879,3.91932106
878,3.750730038
877,3.966181993
876,3.585076571
875,3.718726635
874,3.660935879
873,3.774329662
872,3.861949921
871,3.785052061
870,3.999845505
869,3.566686869
868,3.517337799
867,10
866,4.079856396
865,3.742353678
864,4.396409988
863,3.557808161
862,3.920362473
861,3.959597349
860,4.925256729
859,3.884446383
858,3.748241425
857,4.451433659
856,3.863243103
855,4.012223244
854,10
853,3.638558149
852,4.189714432
851,4.054440975
850,3.965777636
