Wafer#2 7.8mils thick EE535,
Wavelength (nm),T
2500,52.38671875
2499,52.47968292
2498,52.51605606
2497,52.46808624
2496,52.45399475
2495,52.48029327
2494,52.49415588
2493,52.54016495
2492,52.50518799
2491,52.4718399
2490,52.51843262
2489,52.53178024
2488,52.52696228
2487,52.53288651
2486,52.51819992
2485,52.56055069
2484,52.58493423
2483,52.54645538
2482,52.54039764
2481,52.54335403
2480,52.53121948
2479,52.52506638
2478,52.58291245
2477,52.6413269
2476,52.57959366
2475,52.58639526
2474,52.59758759
2473,52.57603455
2472,52.58120346
2471,52.59024048
2470,52.58268738
2469,52.66357803
2468,52.5808754
2467,52.6193161
2466,52.61756897
2465,52.60535431
2464,52.65790939
2463,52.62034988
2462,52.60486603
2461,52.69772339
2460,52.65631866
2459,52.65446472
2458,52.64080048
2457,52.63562775
2456,52.77128983
2455,52.71702576
2454,52.64680481
2453,52.67998505
2452,52.71992111
2451,52.67358398
2450,52.64297867
2449,52.63586807
2448,52.73082352
2447,52.8454895
2446,52.72234726
2445,52.59358978
2444,52.73625946
2443,52.83504868
2442,52.78668213
2441,52.652668
2440,52.71921158
2439,52.88765335
2438,52.84773636
2437,52.67503357
2436,52.69506073
2435,52.83887863
2434,52.87962723
2433,52.72971344
2432,52.6803093
2431,52.87017059
2430,52.96596909
2429,52.76753998
2428,52.60707855
2427,52.79428864
2426,52.99899673
2425,52.86531448
2424,52.63632965
2423,52.78860855
2422,53.05718613
2421,52.95669556
2420,52.72240067
2419,52.70701599
2418,53.05667114
2417,53.05680084
2416,52.70946121
2415,52.71849823
2414,52.99107361
2413,53.05560303
2412,52.80353546
2411,52.6819458
2410,53.0317955
2409,53.13819504
2408,52.84915543
2407,52.68353271
2406,52.98329163
2405,53.21052551
2404,52.93372345
2403,52.70608139
2402,52.94991684
2401,53.31609726
2400,53.00113678
2399,52.73024368
2398,52.97583771
2397,53.22438049
2396,53.00563431
2395,52.72441483
2394,52.92974854
2393,53.28575516
2392,53.13016129
2391,52.77401352
2390,52.92637253
2389,53.31021118
2388,53.17232513
2387,52.8526001
2386,52.94166946
2385,53.34088898
2384,53.19566727
2383,52.78329849
2382,52.91023254
2381,53.26144028
2380,53.25682068
2379,52.92493057
2378,52.84886932
2377,53.29601288
2376,53.25701141
2375,52.92162323
2374,52.96017075
2373,53.3659935
2372,53.3250885
2371,52.89891815
2370,52.95696259
2369,53.30115128
2368,53.33996964
2367,52.99104309
2366,52.97592926
2365,53.35090256
2364,53.3380928
2363,52.96476364
2362,52.9940834
2361,53.32453156
2360,53.36354446
2359,53.00647736
2358,53.05855942
2357,53.382267
2356,53.37035751
2355,53.02898788
2354,53.01291275
2353,53.42947769
2352,53.32868195
2351,52.98282623
2350,53.10714722
2349,53.44741821
2348,53.35271835
2347,52.98162079
2346,53.16854095
2345,53.47373581
2344,53.28583527
2343,52.98003387
2342,53.15039063
2341,53.49066925
2340,53.2990036
2339,52.93629837
2338,53.14152908
2337,53.52626419
2336,53.2146225
2335,52.99051285
2334,53.20177841
2333,53.47591782
2332,53.17999268
2331,53.03031158
2330,53.34170532
2329,53.41447449
2328,53.14400864
2327,53.02028656
2326,53.33153152
2325,53.39791107
2324,53.03001404
2323,53.01364517
2322,53.39147949
2321,53.30125809
2320,52.96921158
2319,53.0727272
2318,53.42276764
2317,53.2391243
2316,52.89556503
2315,53.10897827
2314,53.35290909
2313,53.14759064
2312,52.93655396
2311,53.17618179
2310,53.29177856
2309,53.00663757
2308,53.01631165
2307,53.15610886
2306,53.14549255
2305,53.00323486
2304,53.01963806
2303,53.08699799
2302,53.09860229
2301,53.04855728
2300,53.02139664
2299,53.06459808
2298,53.05082703
2297,53.05670929
2296,53.02703857
2295,52.99767303
2294,53.04544449
2293,53.05976868
2292,52.98985672
2291,53.05563736
2290,52.96186066
2289,52.96540833
2288,53.00068665
2287,53.03178406
2286,52.96961594
2285,52.9687767
2284,53.02343369
2283,53.02508926
2282,52.92512894
2281,52.97557068
2280,53.02154541
2279,52.9474678
2278,52.959198
2277,52.97609711
2276,53.01195526
2275,52.98717499
2274,52.99047852
2273,53.01047516
2272,52.98767853
2271,52.98565674
2270,52.99266052
2269,52.94633484
2268,52.94296265
2267,52.92483139
2266,52.96538544
2265,52.97870636
2264,52.99243927
2263,53.01174545
2262,53.02748871
2261,53.00946045
2260,52.99360275
2259,52.97145844
2258,53.04380035
2257,53.04400253
2256,53.00101089
2255,52.97983932
2254,53.04217911
2253,53.03980255
2252,53.01748657
2251,53.036129
2250,53.09311295
2249,53.0266037
2248,53.03374481
2247,53.16346741
2246,53.07143784
2245,52.95668411
2244,53.0967598
2243,53.13155746
2242,53.00496674
2241,53.05834579
2240,53.14751816
2239,53.07754135
2238,53.02152634
2237,53.14104462
2236,53.12970352
2235,53.0344429
2234,53.02699661
2233,53.16585159
2232,53.18332291
2231,52.97114944
2230,53.1161232
2229,53.12506485
2228,53.09384537
2227,53.08718872
2226,53.15783691
2225,53.16410828
2224,53.02894211
2223,53.18154144
2222,53.22085571
2221,53.11682892
2220,53.06445313
2219,53.23880768
2218,53.16539383
2217,53.17610931
2216,53.1416893
2215,53.22727585
2214,53.17597961
2213,53.19334793
2212,53.22237778
2211,53.15352249
2210,53.16378403
2209,53.18742371
2208,53.22946167
2207,53.17079926
2206,53.12243271
2205,53.171772
2204,53.1845932
2203,53.17075729
2202,53.20022583
2201,53.20785141
2200,53.2014389
2199,53.22833633
2198,53.21247482
2197,53.23878098
2196,53.20987701
2195,53.23141861
2194,53.24165344
2193,53.16448212
2192,53.1930275
2191,53.23485184
2190,53.23802948
2189,53.18877792
2188,53.2897644
2187,53.21862793
2186,53.2091217
2185,53.19747162
2184,53.21320724
2183,53.15971375
2182,53.12856293
2181,53.24744034
2180,53.25405121
2179,53.17121124
2178,53.25753021
2177,53.2332077
2176,53.08086777
2175,53.13362885
2174,53.2035408
2173,53.12076187
2172,53.14665985
2171,53.24357605
2170,53.1618309
2169,53.15637589
2168,53.23274612
2167,53.22117233
2166,53.0955925
2165,53.18684006
2164,53.23944855
2163,53.10282898
2162,53.17533493
2161,53.24718475
2160,53.23634338
2159,53.14413834
2158,53.25118256
2157,53.16553879
2156,53.10736847
2155,53.21424103
2154,53.26926804
2153,53.13220215
2152,53.2034111
2151,53.2454071
2150,53.12710953
2149,53.14762497
2148,53.21730804
2147,53.21761322
2146,53.19765854
2145,53.2440834
2144,53.22796631
2143,53.11710358
2142,53.18367386
2141,53.2361145
2140,53.1342926
2139,53.1710968
2138,53.30550766
2137,53.15525055
2136,53.16283798
2135,53.2457962
2134,53.22505188
2133,53.15053558
2132,53.27093124
2131,53.24642563
2130,53.21113586
2129,53.20742035
2128,53.30269241
2127,53.15570831
2126,53.23978043
2125,53.25277328
2124,53.14087677
2123,53.22266769
2122,53.29450989
2121,53.16936493
2120,53.20149612
2119,53.32229614
2118,53.18553543
2117,53.14553452
2116,53.30977631
2115,53.26169205
2114,53.15247726
2113,53.23874283
2112,53.25600052
2111,53.23342514
2110,53.2530899
2109,53.27201462
2108,53.17724228
2107,53.25195313
2106,53.31515121
2105,53.20371246
2104,53.20785522
2103,53.3400116
2102,53.19702148
2101,53.20807266
2100,53.32401276
2099,53.25484467
2098,53.26363373
2097,53.31676102
2096,53.22925568
2095,53.20139694
2094,53.34246826
2093,53.24425507
2092,53.2477684
2091,53.31475067
2090,53.28651047
2089,53.19725418
2088,53.32839584
2087,53.28410721
2086,53.15119171
2085,53.32204819
2084,53.25293732
2083,53.20217514
2082,53.255867
2081,53.30793762
2080,53.14896011
2079,53.30024338
2078,53.29436493
2077,53.19331741
