sample2,,
Wavelength (nm),%T,
1800,14.88227558,
1799,14.95263767,
1798,15.06701088,
1797,15.02488995,
1796,15.09669113,
1795,15.13630581,
1794,15.28127193,
1793,15.25679779,
1792,15.38101578,
1791,15.44965553,
1790,15.50201511,
1789,15.51787853,
1788,15.61142349,
1787,15.69815826,
1786,15.72664261,
1785,15.7981205,
1784,15.8739748,
1783,15.91248035,
1782,16.04526329,
1781,16.07476234,
1780,16.14027405,
1779,16.22325706,
1778,16.30340767,
1777,16.37322998,
1776,16.4612999,
1775,16.53111649,
1774,16.59289932,
1773,16.78514099,
1772,16.64905739,
1771,16.75860977,
1770,16.86203384,
1769,16.96085358,
1768,17.1042366,
1767,17.13869476,
1766,17.22336769,
1765,17.20216942,
1764,17.3728714,
1763,17.42741394,
1762,17.57735825,
1761,17.61022186,
1760,17.72671509,
1759,17.84179306,
1758,17.85093307,
1757,17.99159813,
1756,18.03121948,
1755,18.15093422,
1754,18.23800087,
1753,18.35549355,
1752,18.37452888,
1751,18.50829124,
1750,18.56513023,
1749,18.65717506,
1748,18.78000832,
1747,18.89745522,
1746,18.93176651,
1745,19.14428711,
1744,19.11956787,
1743,19.19634438,
1742,19.40127373,
1741,19.50393677,
1740,19.56612968,
1739,19.78863525,
1738,19.81391525,
1737,19.9165287,
1736,20.03225327,
1735,20.11022949,
1734,20.20600319,
1733,20.34463501,
1732,20.37590218,
1731,20.54275513,
1730,20.67153358,
1729,20.80584335,
1728,20.8512249,
1727,20.98322105,
1726,21.10570526,
1725,21.19743919,
1724,21.32947731,
1723,21.42876625,
1722,21.60251236,
1721,21.67881966,
1720,21.76219177,
1719,21.9189682,
1718,22.03043747,
1717,22.1870327,
1716,22.32196236,
1715,22.40532875,
1714,22.56845474,
1713,22.65853882,
1712,22.82482147,
1711,22.93895721,
1710,23.0294075,
1709,23.206213,
1708,23.41808891,
1707,23.51163101,
1706,23.58455658,
1705,23.67066574,
1704,23.91556358,
1703,24.01194954,
1702,24.16344261,
1701,24.35138321,
1700,24.46294212,
1699,24.6108017,
1698,24.75576591,
1697,24.89621162,
1696,25.04652786,
1695,25.15521622,
1694,25.37499619,
1693,25.47599983,
1692,25.66262436,
1691,25.82741737,
1690,26.00698471,
1689,26.19996643,
1688,26.29364777,
1687,26.49766159,
1686,26.64074516,
1685,26.77373314,
1684,27.00671577,
1683,27.14056587,
1682,27.27751732,
1681,27.43857193,
1680,27.66330338,
1679,27.82975769,
1678,27.91806984,
1677,28.1541729,
1676,28.28939056,
1675,28.4330368,
1674,28.65171432,
1673,28.88177299,
1672,29.03655815,
1671,29.19854736,
1670,29.38122749,
1669,29.5857811,
1668,29.77659988,
1667,29.95604897,
1666,30.12695313,
1665,30.38765144,
1664,30.41262627,
1663,30.73635674,
1662,30.90412903,
1661,31.0758152,
1660,31.35265923,
1659,31.49121666,
1658,31.768507,
1657,31.93314934,
1656,32.06180954,
1655,32.29073715,
1654,32.49121475,
1653,32.6912117,
1652,32.91472626,
1651,33.02445984,
1650,33.39141464,
1649,33.52025986,
1648,33.70155334,
1647,33.97304916,
1646,34.15820313,
1645,34.34240723,
1644,34.673172,
1643,34.80898666,
1642,35.05997467,
1641,35.22161102,
1640,35.40752792,
1639,35.63349533,
1638,35.83317184,
1637,36.0535965,
1636,36.25737,
1635,36.5581398,
1634,36.6770134,
1633,36.91165161,
1632,37.11474991,
1631,37.36045074,
1630,37.59083557,
1629,37.78689575,
1628,38.06353378,
1627,38.27856064,
1626,38.54339981,
1625,38.72880173,
1624,38.88452911,
1623,39.09051895,
1622,39.4288826,
1621,39.59834671,
1620,39.80217743,
1619,40.0136528,
1618,40.28348923,
1617,40.42264557,
1616,40.72716522,
1615,40.8707695,
1614,41.1563797,
1613,41.36174393,
1612,41.59379196,
1611,41.79750061,
1610,41.94820404,
1609,42.16807175,
1608,42.49458694,
1607,42.72269821,
1606,42.90732193,
1605,43.07336426,
1604,43.27396011,
1603,43.46796036,
1602,43.71062851,
1601,43.87607574,
1600,44.11964798,
1599,44.34904861,
1598,44.62926865,
1597,44.7208252,
1596,44.96474838,
1595,45.18706512,
1594,45.37111664,
1593,45.5774231,
1592,45.70852661,
1591,45.97537994,
1590,46.1505661,
1589,46.34791183,
1588,46.54593658,
1587,46.7303772,
1586,46.85837555,
1585,47.10448837,
1584,47.26298141,
1583,47.46113968,
1582,47.65393066,
1581,47.76435089,
1580,47.96656418,
1579,48.16372681,
1578,48.28556824,
1577,48.53374481,
1576,48.64294052,
1575,48.76641464,
1574,48.84838867,
1573,49.0879097,
1572,49.26988983,
1571,49.47276688,
1570,49.52257538,
1569,49.70962524,
1568,49.85016632,
1567,49.9284935,
1566,50.08641052,
1565,50.07242584,
1564,50.32717133,
1563,50.42367554,
1562,50.54162598,
1561,50.56404495,
1560,50.82282257,
1559,50.85327148,
1558,51.02706146,
1557,51.09022903,
1556,51.17193985,
1555,51.21848679,
1554,51.35727692,
1553,51.4750824,
1552,51.53678131,
1551,51.61347198,
1550,51.66892242,
1549,51.78397751,
1548,51.82569122,
1547,51.89645767,
1546,51.93740845,
1545,51.99806595,
1544,52.08229446,
1543,52.14289474,
1542,52.20306396,
1541,52.21837616,
1540,52.24661255,
1539,52.27133179,
1538,52.28879547,
1537,52.34124756,
1536,52.40470886,
1535,52.49004364,
1534,52.43162537,
1533,52.48389435,
1532,52.48270035,
1531,52.47364807,
1530,52.4467659,
1529,52.50519562,
1528,52.50747681,
1527,52.50810242,
1526,52.49888229,
1525,52.46602249,
1524,52.35482025,
1523,52.42976379,
1522,52.35004425,
1521,52.47149658,
1520,52.42009735,
1519,52.32997513,
1518,52.42653656,
1517,52.27130127,
1516,52.23957443,
1515,52.24663162,
1514,52.17623901,
1513,52.17370224,
1512,52.09199905,
1511,52.03485489,
1510,51.94135284,
1509,51.96126175,
1508,51.88554001,
1507,51.89592361,
1506,51.81487656,
1505,51.76371765,
1504,51.78197479,
1503,51.5788269,
1502,51.54191971,
1501,51.49610138,
1500,51.38954926,
1499,51.22780609,
1498,51.29497147,
1497,51.12829208,
1496,51.05106735,
1495,51.08318329,
1494,51.03666687,
1493,50.87347031,
1492,50.85570908,
1491,50.77941513,
1490,50.63850403,
1489,50.63378143,
1488,50.43257523,
1487,50.40456009,
1486,50.21678162,
1485,50.17054749,
1484,50.0485611,
1483,50.11100006,
1482,49.90888596,
1481,49.86358261,
1480,49.79925156,
1479,49.67847443,
1478,49.51712036,
1477,49.46070099,
1476,49.4137764,
1475,49.27437592,
1474,49.17737198,
1473,49.02066422,
1472,49.05105591,
1471,48.90537643,
1470,48.77525711,
1469,48.75201035,
1468,48.6187973,
1467,48.54251862,
1466,48.39941788,
1465,48.39661407,
1464,48.17824173,
1463,48.09894562,
1462,48.04417419,
1461,47.95442963,
1460,47.86286163,
1459,47.72846603,
1458,47.67552185,
1457,47.45635986,
1456,47.46188354,
1455,47.36595917,
1454,47.19822311,
1453,47.12150955,
1452,47.07445526,
1451,46.94303131,
1450,46.91571426,
1449,46.87319565,
1448,46.79488373,
1447,46.58302689,
1446,46.50978851,
1445,46.40678024,
1444,46.39624023,
1443,46.24959564,
1442,46.17765427,
1441,46.04529953,
1440,45.99058533,
1439,45.95778656,
1438,45.84981155,
1437,45.77559662,
1436,45.54801941,
1435,45.62195587,
1434,45.55321503,
1433,45.32461166,
1432,45.31314087,
1431,45.20534515,
1430,45.18473434,
1429,45.14002991,
1428,45.0618515,
1427,44.99478149,
1426,44.88215637,
1425,44.77573776,
1424,44.76851654,
1423,44.68054199,
1422,44.66353226,
1421,44.57551193,
1420,44.47095108,
1419,44.30221176,
1418,44.27539444,
1417,44.21945572,
1416,44.24407578,
1415,44.14356232,
1414,44.11615753,
1413,44.0292778,
1412,44.00982666,
1411,43.88162231,
1410,43.86631012,
1409,43.81522369,
1408,43.82326889,
1407,43.68001938,
1406,43.58531952,
1405,43.60801697,
1404,43.55282593,
1403,43.48293304,
1402,43.52121735,
1401,43.45795441,
1400,43.43094254,
1399,43.31601715,
1398,43.316185,
1397,43.31598663,
1396,43.19252014,
1395,43.17533493,
1394,43.15646744,
1393,43.19284439,
1392,43.10777283,
1391,43.11285782,
1390,43.10499191,
1389,43.04276276,
1388,42.99826813,
1387,42.98662567,
1386,42.91172791,
1385,42.95910645,
1384,42.92736435,
1383,42.93201828,
1382,42.86964417,
1381,42.82787704,
1380,42.85715866,
1379,42.93741608,
1378,42.77889633,
1377,42.78168869,
1376,42.834095,
1375,42.83188629,
1374,42.79599762,
1373,42.8178215,
1372,42.8238678,
1371,42.80158234,
1370,42.85607147,
1369,42.80564117,
1368,42.8272438,
1367,42.8191185,
1366,42.82329559,
1365,42.78850937,
1364,42.8604126,
1363,42.84698868,
1362,42.85038757,
1361,42.85707855,
1360,42.84922409,
1359,42.94538498,
1358,42.96171188,
1357,42.99365997,
1356,43.02022934,
1355,43.01307678,
1354,43.06590271,
1353,43.08194351,
1352,43.04947662,
1351,43.1061554,
1350,43.16363525,
1349,43.11840057,
1348,43.18909836,
1347,43.26042938,
1346,43.25740814,
1345,43.32320404,
1344,43.30683517,
1343,43.3766098,
1342,43.38830185,
1341,43.53003311,
1340,43.59555817,
1339,43.53501129,
1338,43.66756821,
1337,43.67174911,
1336,43.6877594,
1335,43.76901627,
1334,43.76824188,
1333,43.93198013,
1332,43.91973495,
1331,43.94255066,
1330,44.13076401,
1329,44.14489365,
1328,44.19119644,
1327,44.26422882,
1326,44.26695251,
1325,44.42145538,
1324,44.41758347,
1323,44.54013824,
1322,44.54998779,
1321,44.69432068,
1320,44.73651505,
1319,44.78117371,
1318,44.94695282,
1317,45.00333023,
1316,45.1362114,
1315,45.16053009,
1314,45.22600555,
1313,45.38856888,
1312,45.44142532,
1311,45.54766846,
1310,45.7038269,
1309,45.67181015,
1308,45.75598526,
1307,45.90688705,
1306,45.96218109,
1305,46.17160034,
1304,46.26160812,
1303,46.39837265,
1302,46.48478317,
1301,46.51004028,
1300,46.67895126,
1299,46.79444885,
1298,46.91174698,
1297,47.03405762,
1296,47.06972504,
1295,47.24916077,
1294,47.3544426,
1293,47.51846313,
1292,47.65554047,
1291,47.75054932,
1290,47.87057495,
1289,47.95368576,
1288,48.12676239,
1287,48.2591362,
1286,48.46398926,
1285,48.60250854,
1284,48.71240234,
1283,48.78397751,
1282,48.9501915,
1281,49.05454636,
1280,49.17928696,
1279,49.3907547,
1278,49.54711914,
1277,49.71014786,
1276,49.83688354,
1275,50.0034523,
1274,50.12197495,
1273,50.23937988,
1272,50.41419983,
1271,50.63315201,
1270,50.83746338,
1269,51.02888489,
1268,51.14796066,
1267,51.24519348,
1266,51.41808319,
1265,51.66638947,
1264,51.82238388,
1263,51.98256302,
1262,52.18946457,
1261,52.34318542,
1260,52.55190659,
1259,52.76483917,
1258,52.82188034,
1257,53.09494019,
1256,53.27241516,
1255,53.41656876,
1254,53.5948143,
1253,53.83446121,
1252,53.92904282,
1251,54.24427795,
1250,54.45517349,
1249,54.5863266,
1248,54.82151413,
1247,55.07358932,
1246,55.20690536,
1245,55.38221741,
1244,55.67267609,
1243,55.83875275,
1242,56.01628494,
1241,56.17240524,
1240,56.49357605,
