sample1,,
Wavelength (nm),%T,
1800,12.08172798,
1799,12.18289566,
1798,12.14205933,
1797,12.09177589,
1796,12.03913498,
1795,12.12009621,
1794,12.19102287,
1793,12.15429783,
1792,12.13507843,
1791,12.15804577,
1790,12.17979622,
1789,12.22944832,
1788,12.23285294,
1787,12.22132492,
1786,12.22666168,
1785,12.22821331,
1784,12.30009174,
1783,12.24824905,
1782,12.354599,
1781,12.29227829,
1780,12.35093212,
1779,12.38011551,
1778,12.32947063,
1777,12.42316628,
1776,12.38917542,
1775,12.43866158,
1774,12.46032238,
1773,12.52485466,
1772,12.45330334,
1771,12.45196152,
1770,12.54507637,
1769,12.50147629,
1768,12.49960518,
1767,12.57900333,
1766,12.64177704,
1765,12.60242271,
1764,12.66907883,
1763,12.7206831,
1762,12.62721539,
1761,12.72455406,
1760,12.68259144,
1759,12.73276997,
1758,12.76345825,
1757,12.76817608,
1756,12.78526306,
1755,12.85848618,
1754,12.81672573,
1753,12.85566521,
1752,12.84677124,
1751,12.94671631,
1750,12.86944294,
1749,12.95257378,
1748,13.04671574,
1747,12.99040508,
1746,13.01116657,
1745,13.10216618,
1744,13.03481865,
1743,13.07869816,
1742,13.14374542,
1741,13.19958115,
1740,13.17186356,
1739,13.23847198,
1738,13.21869659,
1737,13.25843048,
1736,13.29949093,
1735,13.28900051,
1734,13.27343559,
1733,13.36914253,
1732,13.38091373,
1731,13.40473557,
1730,13.53777695,
1729,13.51038361,
1728,13.48284912,
1727,13.53633881,
1726,13.48214912,
1725,13.56560421,
1724,13.57496357,
1723,13.61296654,
1722,13.73880482,
1721,13.65173912,
1720,13.7325449,
1719,13.82852364,
1718,13.84406662,
1717,13.83799934,
1716,13.89319706,
1715,13.87149811,
1714,13.95859146,
1713,13.98538208,
1712,14.02881718,
1711,14.07353401,
1710,14.03894997,
1709,14.09673405,
1708,14.16721153,
1707,14.23999023,
1706,14.31172466,
1705,14.2258091,
1704,14.31997395,
1703,14.36015511,
1702,14.36992741,
1701,14.47575092,
1700,14.45604515,
1699,14.53415585,
1698,14.5608139,
1697,14.62000942,
1696,14.66655445,
1695,14.63103485,
1694,14.79965305,
1693,14.77570724,
1692,14.84071159,
1691,14.87018299,
1690,14.94482899,
1689,15.07253933,
1688,15.0492382,
1687,15.15379524,
1686,15.12819099,
1685,15.18380356,
1684,15.3136549,
1683,15.24371529,
1682,15.35896206,
1681,15.42232513,
1680,15.41740322,
1679,15.44230461,
1678,15.49420357,
1677,15.56303024,
1676,15.62095261,
1675,15.61371803,
1674,15.74205303,
1673,15.79881573,
1672,15.80609798,
1671,15.91782093,
1670,15.92885876,
1669,16.00203514,
1668,16.02756691,
1667,16.11452675,
1666,16.19600296,
1665,16.28515816,
1664,16.26333809,
1663,16.29429245,
1662,16.36412811,
1661,16.48695183,
1660,16.57258034,
1659,16.52653694,
1658,16.72751999,
1657,16.71334076,
1656,16.70223999,
1655,16.84814644,
1654,16.90954781,
1653,16.9535141,
1652,17.06927872,
1651,17.10329437,
1650,17.23988724,
1649,17.26477051,
1648,17.27112961,
1647,17.35523796,
1646,17.40353966,
1645,17.53983879,
1644,17.69501114,
1643,17.71959305,
1642,17.73404503,
1641,17.81283188,
1640,17.88958359,
1639,17.99275208,
1638,18.07585907,
1637,18.1105957,
1636,18.19279671,
1635,18.28162193,
1634,18.33843231,
1633,18.39941216,
1632,18.52660561,
1631,18.62095261,
1630,18.72953033,
1629,18.77960205,
1628,18.9191494,
1627,18.97437477,
1626,19.13013649,
1625,19.16196632,
1624,19.20943832,
1623,19.32053185,
1622,19.43353844,
1621,19.46208763,
1620,19.57197952,
1619,19.67324448,
1618,19.8095932,
1617,19.87160492,
1616,19.94275665,
1615,20.08946037,
1614,20.18426895,
1613,20.26156998,
1612,20.3491497,
1611,20.4812355,
1610,20.59428215,
1609,20.66868591,
1608,20.76006126,
1607,20.88095856,
1606,21.02560806,
1605,21.08874702,
1604,21.19619751,
1603,21.31852341,
1602,21.45998764,
1601,21.52514267,
1600,21.65205574,
1599,21.78079224,
1598,21.92500687,
1597,21.99322128,
1596,22.11734962,
1595,22.3220768,
1594,22.38290977,
1593,22.52535439,
1592,22.59169388,
1591,22.74385452,
1590,22.79521751,
1589,22.99939156,
1588,23.13303566,
1587,23.25292397,
1586,23.39492226,
1585,23.53938484,
1584,23.64511299,
1583,23.77021599,
1582,23.94882202,
1581,24.09304619,
1580,24.1985836,
1579,24.37820053,
1578,24.5093441,
1577,24.63203621,
1576,24.80449295,
1575,24.91420364,
1574,25.0452404,
1573,25.26314926,
1572,25.44561577,
1571,25.56734085,
1570,25.67239189,
1569,25.8788414,
1568,25.99003601,
1567,26.15834999,
1566,26.30893326,
1565,26.40296173,
1564,26.52717018,
1563,26.86088181,
1562,26.97238922,
1561,27.04171181,
1560,27.29180145,
1559,27.45629311,
1558,27.65675545,
1557,27.82389832,
1556,28.00670815,
1555,28.10509491,
1554,28.32079887,
1553,28.47492981,
1552,28.64960098,
1551,28.87587166,
1550,29.09718513,
1549,29.21725273,
1548,29.46592331,
1547,29.62651825,
1546,29.8317585,
1545,30.02268982,
1544,30.20168304,
1543,30.52295685,
1542,30.61743164,
1541,30.85283279,
1540,31.05788803,
1539,31.15966415,
1538,31.40595627,
1537,31.61395264,
1536,31.84589386,
1535,32.07683182,
1534,32.20788956,
1533,32.45484161,
1532,32.71807861,
1531,32.96400452,
1530,33.16824722,
1529,33.34046173,
1528,33.53902817,
1527,33.8111496,
1526,33.9644928,
1525,34.20068741,
1524,34.37440872,
1523,34.6558342,
1522,34.88277435,
1521,35.17242432,
1520,35.42211914,
1519,35.54672241,
1518,35.88983536,
1517,36.14549255,
1516,36.24940491,
1515,36.58889771,
1514,36.79502487,
1513,37.04647064,
1512,37.22754669,
1511,37.51911926,
1510,37.816082,
1509,38.05286789,
1508,38.31568527,
1507,38.5393486,
1506,38.80683899,
1505,39.03818512,
1504,39.38684845,
1503,39.58647919,
1502,39.81919098,
1501,40.17398834,
1500,40.35171127,
1499,40.64524078,
1498,40.90054703,
1497,41.21027756,
1496,41.43440247,
1495,41.75289917,
1494,42.07982254,
1493,42.22026443,
1492,42.58036423,
1491,42.84725189,
1490,43.13428879,
1489,43.37788391,
1488,43.64963531,
1487,43.97601318,
1486,44.21718597,
1485,44.51264572,
1484,44.76057816,
1483,45.14068604,
1482,45.37619019,
1481,45.72750473,
1480,46.0283165,
1479,46.29637146,
1478,46.50009155,
1477,46.86110687,
1476,47.13848877,
1475,47.46446228,
1474,47.76418686,
1473,48.05571365,
1472,48.31226349,
1471,48.61264038,
1470,48.93953705,
1469,49.21776199,
1468,49.54536057,
1467,49.80571365,
1466,50.08504868,
1465,50.41884613,
1464,50.68098831,
1463,51.00233078,
1462,51.28385925,
1461,51.6246376,
1460,51.91905594,
1459,52.22596359,
1458,52.53988647,
