"Wavelength, µm","n"
0.4,2.9741437553843
0.4144,2.9223135982385
0.4294,2.8762640966209
0.4449,2.8354753289732
0.461,2.7989916480063
0.4776,2.7664637179516
0.4949,2.7370476928648
0.5128,2.7105617248363
0.5313,2.6866669291409
0.5505,2.6649637081544
0.5704,2.6452350747212
0.591,2.6272860669945
0.6123,2.6109416608924
0.6344,2.595981198261
0.6573,2.5822858305746
0.6811,2.5696958584706
0.7057,2.5581710931821
0.7312,2.547577353518
0.7576,2.5378408959056
0.7849,2.5288924807131
0.8133,2.5206124649182
0.8427,2.5129833082507
0.8731,2.5059552808434
0.9046,2.4994619829592
0.9373,2.4934482742954
0.9712,2.4878834624759
1.006,2.4827789343855
1.043,2.4779310757522
1.08,2.4735961444182
1.119,2.4695040171968
1.16,2.4656561229618
1.202,2.4621292537919
1.245,2.4588927251033
1.29,2.4558550509284
1.337,2.4530110947984
1.385,2.4504053992272
1.435,2.4479679367498
1.487,2.4456914616884
1.54,2.4436053170626
1.596,2.441622721985
1.654,2.4397765453989
1.713,2.438085293391
1.775,2.4364833034228
1.839,2.4349923796083
1.906,2.4335844325846
1.975,2.4322754898105
2.046,2.4310575185521
2.12,2.429908186362
2.196,2.42883794274
2.276,2.4278153628687
2.358,2.4268626519195
2.443,2.4259629325545
2.531,2.4251126067248
2.623,2.4242995603064
2.718,2.4235299825955
2.816,2.4228000315228
2.917,2.4221059775029
3.023,2.4214319714975
3.132,2.4207885075407
3.245,2.4201666520638
3.362,2.4195639764104
3.484,2.4189732913774
3.61,2.4183972875548
3.74,2.4178333488082
3.875,2.4172748444408
4.015,2.4167197087201
4.16,2.4161657754535
4.31,2.4156108057551
4.466,2.415048950024
4.627,2.4144815800367
4.794,2.4139028539827
4.968,2.4133070553748
5.147,2.4126986180653
5.333,2.4120682304166
5.525,2.4114167095524
5.725,2.4107345578567
5.932,2.4100223149725
6.146,2.4092770132951
6.368,2.4084920061826
6.598,2.4076638943923
6.836,2.4067891067698
7.083,2.4058600945575
7.339,2.4048726415017
7.604,2.4038222952586
7.879,2.4027002204277
8.163,2.4015053509581
8.458,2.400223618029
8.764,2.3988485891336
9.08,2.397378143448
9.408,2.3957956769181
9.748,2.3940928675928
10.1,2.3922608008214
10.46,2.3903120107022
10.84,2.3881699822938
11.23,2.3858779729299
11.64,2.3833628755291
12.06,2.3806705565161
12.5,2.377719947902
12.95,2.3745597303731
13.42,2.371099455941
13.9,2.3673907416335
