Absorbance  thin film,
Wavelength (nm),Abs
750,0.386976332
749,0.38476646
748,0.38086763
747,0.375143111
746,0.367771298
745,0.358593226
744,0.347556114
743,0.334829062
742,0.320489675
741,0.304920852
740,0.288147897
739,0.270755529
738,0.253318101
737,0.236255035
736,0.220451415
735,0.206150115
734,0.1942949
733,0.185132206
732,0.179034725
731,0.176152989
730,0.176386595
729,0.179563239
728,0.185438946
727,0.193633378
726,0.203824401
725,0.215616539
724,0.228657454
723,0.242590472
722,0.257239491
721,0.272364438
720,0.287586927
719,0.302836061
718,0.317743033
717,0.332564354
716,0.346766621
715,0.360334575
714,0.373192638
713,0.385194659
712,0.396258205
711,0.406146497
710,0.414719373
709,0.421995938
708,0.427581072
707,0.431432635
706,0.433386624
705,0.433309585
704,0.431037903
703,0.426588476
702,0.419879437
701,0.41091308
700,0.400048345
699,0.387276948
698,0.373283207
697,0.358553588
696,0.343800843
695,0.329990655
694,0.317688286
693,0.307960391
692,0.301349878
691,0.298285037
690,0.298871458
689,0.303091556
688,0.310626924
687,0.320940793
686,0.333832651
685,0.348610282
684,0.364851475
683,0.382139206
682,0.399906457
681,0.41819191
680,0.436386138
679,0.454222113
678,0.471562296
677,0.488274932
676,0.504060686
675,0.518795133
674,0.532212973
673,0.544189453
672,0.554624558
671,0.563287437
670,0.570164979
669,0.574960172
668,0.577862322
667,0.578727961
666,0.577759802
665,0.575141728
664,0.571264029
663,0.566622317
662,0.561777532
661,0.557538748
660,0.554484725
659,0.553364396
658,0.554639876
657,0.558649242
656,0.565434098
655,0.575132668
654,0.587369084
653,0.601829648
652,0.618115962
651,0.635792971
650,0.654554367
649,0.673922062
648,0.693567097
647,0.713203192
646,0.732656658
645,0.751620889
644,0.769779325
643,0.786870122
642,0.803059042
641,0.818120062
640,0.831932604
639,0.844509661
638,0.855770469
637,0.866037607
636,0.875366807
635,0.883972764
634,0.89222461
633,0.90041858
632,0.909054995
631,0.918370783
630,0.928713918
629,0.940460682
628,0.953706682
627,0.968579292
626,0.985034108
625,1.002965927
624,1.022129297
623,1.042411685
622,1.063508749
621,1.085227132
620,1.107102633
619,1.129505157
618,1.151746988
617,1.17368567
616,1.195405841
615,1.216868043
614,1.237790942
613,1.258329153
612,1.278364897
611,1.298247695
610,1.317856908
609,1.33738935
608,1.357056975
607,1.376716495
606,1.397059321
605,1.417756796
604,1.439155221
603,1.46111238
602,1.483818531
601,1.507328629
600,1.531504393
599,1.556165576
598,1.581556201
597,1.607438564
596,1.633620262
595,1.66021204
594,1.686591029
593,1.713482618
592,1.740326047
591,1.767046332
590,1.793856859
589,1.820684314
588,1.847573757
587,1.874518633
586,1.901238203
585,1.928385258
584,1.95565486
583,1.982950568
582,2.010376215
581,2.037798882
580,2.065618515
579,2.093382359
578,2.121264935
577,2.149111032
576,2.17697382
575,2.204887867
574,2.232495785
573,2.259688854
572,2.28695941
571,2.313803434
570,2.340234518
569,2.366260529
568,2.391682386
567,2.417059898
566,2.44183135
565,2.465750456
564,2.489260197
563,2.512009859
562,2.534343481
561,2.555840492
560,2.576617002
559,2.596777916
558,2.616232872
557,2.634952068
556,2.652843475
555,2.669737101
554,2.68625021
553,2.701827765
552,2.716525078
551,2.730732918
550,2.744039059
549,2.756412983
548,2.768646002
547,2.779771566
546,2.79022789
545,2.800420761
544,2.810115814
543,2.819599867
542,2.827327251
541,2.835369349
540,2.843064547
539,2.850174665
538,2.85682869
537,2.863212109
536,2.869333267
535,2.875121593
534,2.880591154
533,2.886142254
532,2.890958786
531,2.896148443
530,2.900597572
529,2.905059576
528,2.909825087
527,2.913824081
526,2.917998552
525,2.921973228
524,2.92578721
523,2.929709673
522,2.933511972
521,2.937233448
520,2.94094348
519,2.943977594
518,2.947841406
517,2.951286554
516,2.954632759
515,2.958069086
514,2.961282253
513,2.9645226
512,2.96790266
511,2.970979452
510,2.974534035
509,2.977507353
508,2.980901957
507,2.983663321
506,2.986873627
505,2.989693642
504,2.993108034
503,2.996113777
502,2.999520779
501,3.002296448
500,3.005460501
499,3.008472443
498,3.011087418
497,3.014130831
496,3.017402887
495,3.019944906
494,3.023338795
493,3.025626421
492,3.028964996
491,3.031446695
490,3.034468889
489,3.037000179
488,3.040148973
487,3.042723894
486,3.045696974
485,3.048710823
484,3.051126719
483,3.054118872
482,3.056503057
481,3.059680223
480,3.062370539
479,3.064559221
478,3.067453861
477,3.070272684
476,3.072750568
475,3.07489109
474,3.077986479
473,3.08046627
472,3.083197355
471,3.08597827
470,3.088032961
469,3.090640545
468,3.093541145
467,3.095910788
466,3.098456383
465,3.100973845
464,3.103765726
463,3.105916262
462,3.108356237
461,3.111283302
460,3.11345768
459,3.116154432
458,3.118836403
457,3.120816469
456,3.123410463
455,3.125712872
454,3.128399372
453,3.130219221
452,3.132814169
451,3.135682583
450,3.137994528
