Reflectance thin film,
Wavelength (nm),%R
2400,45.09884262
2399,45.34075546
2398,45.47279358
2397,45.66717911
2396,45.82485199
2395,46.0198822
2394,46.2468338
2393,46.37408066
2392,46.55587387
2391,46.7914238
2390,46.88305664
2389,47.09556198
2388,47.25720596
2387,47.35232544
2386,47.57614899
2385,47.77710342
2384,47.92546463
2383,48.06703186
2382,48.25102234
2381,48.3962326
2380,48.54532623
2379,48.64442062
2378,48.87735367
2377,48.98493576
2376,49.19246674
2375,49.30408478
2374,49.50402832
2373,49.63044357
2372,49.77736664
2371,49.92767715
2370,50.08553314
2369,50.2163887
2368,50.36451721
2367,50.52138138
2366,50.61197281
2365,50.72320557
2364,50.93157196
2363,51.07785416
2362,51.22735596
2361,51.30733871
2360,51.46521378
2359,51.55157471
2358,51.71517181
2357,51.87968445
2356,51.96263885
2355,52.11714935
2354,52.27404404
2353,52.39142609
2352,52.47586441
2351,52.59836197
2350,52.73724365
2349,52.86110687
2348,52.97550964
2347,53.07549286
2346,53.26090622
2345,53.29177856
2344,53.43431854
2343,53.55773163
2342,53.69030762
2341,53.81135178
2340,53.88379669
2339,53.9989357
2338,54.10877609
2337,54.27955246
2336,54.33443832
2335,54.44750214
2334,54.56619263
2333,54.69077301
2332,54.7729187
2331,54.86434555
2330,55.03360748
2329,55.10229492
2328,55.22337723
2327,55.26423645
2326,55.39788055
2325,55.48757935
2324,55.55736542
2323,55.60742569
2322,55.81690598
2321,55.85790253
2320,55.93935394
2319,55.9591713
2318,56.1120224
2317,56.16279984
2316,56.28693771
2315,56.412117
2314,56.42881393
2313,56.48209381
2312,56.61646271
2311,56.7168541
2310,56.76554489
2309,56.81631088
2308,56.9240799
2307,57.0137558
2306,57.14588165
2305,57.13414001
2304,57.20598221
2303,57.289814
2302,57.37837982
2301,57.42428207
2300,57.49481201
2299,57.55896759
2298,57.68731308
2297,57.72054291
2296,57.74472809
2295,57.81276703
2294,57.88180161
2293,57.95446014
2292,57.9601593
2291,58.00400543
2290,58.08530426
2289,58.10673141
2288,58.0735817
2287,58.17008591
2286,58.12973404
2285,58.13587189
2284,58.10490799
2283,58.13201141
2282,58.16357803
2281,58.22506714
2280,58.23536682
2279,58.25566483
2278,58.24832153
2277,58.34326935
2276,58.38235092
2275,58.36042023
2274,58.46110153
2273,58.49791336
2272,58.48819733
2271,58.56531906
2270,58.61952209
2269,58.65529633
2268,58.67281723
2267,58.77069855
2266,58.79498672
2265,58.83393097
2264,58.89977646
2263,58.94262314
2262,58.95945358
2261,59.020298
2260,59.03282928
2259,59.07831955
2258,59.09294891
2257,59.15974426
2256,59.22481918
2255,59.27758789
