"Wavelength, µm","n"
0.1033,0.327
0.1078,0.363
0.1127,0.392
0.1181,0.423
0.124,0.459
0.1305,0.497
0.1378,0.543
0.1459,0.597
0.155,0.66
0.1653,0.735
0.1771,0.832
0.1907,0.951
0.2066,1.11
0.2254,1.35
0.248,1.69
0.2583,1.86
0.2695,2.07
0.2818,2.3
0.2952,2.56
0.31,2.87
0.3263,3.21
0.3444,3.55
0.3543,3.73
0.3647,3.9
0.3875,4.17
0.4133,4.38
0.4428,4.47
0.4769,4.49
0.496,4.47
0.5166,4.46
0.5636,4.36
0.6199,4.23
0.6526,4.17
0.6888,4.09
0.7293,4.01
0.7749,3.93
0.8266,3.86
0.8856,3.77
0.9538,3.68
1.033,3.61
1.127,3.57
1.24,3.54
1.378,3.5
1.55,3.48
1.771,3.45
2.066,3.44
