Transmission thin film,
Wavelength (nm),%T
2500,76.68940735
2499,76.44962311
2498,76.45057678
2497,76.26259613
2496,76.08013153
2495,75.94017029
2494,75.76077271
2493,75.57672119
2492,75.37914276
2491,75.25232697
2490,75.20857239
2489,75.03396606
2488,74.74491882
2487,74.6217041
2486,74.42179871
2485,74.43685913
2484,74.13710022
2483,73.99186707
2482,73.84442902
2481,73.60726929
2480,73.48318481
2479,73.25330353
2478,73.15003204
2477,72.98342896
2476,72.86630249
2475,72.64616394
2474,72.39644623
2473,72.2042923
2472,71.9406662
2471,72.00439453
2470,71.68424225
2469,71.46517944
2468,71.32579041
2467,71.15628052
2466,71.07736969
2465,70.94361877
2464,70.67069244
2463,70.46911621
2462,70.25033569
2461,70.09409332
2460,69.89729309
2459,69.80187988
2458,69.55963135
2457,69.34913635
2456,69.30374146
2455,69.0457077
2454,68.76199341
2453,68.60423279
2452,68.47479248
2451,68.28899384
2450,68.07067108
2449,67.88118744
2448,67.72353363
2447,67.61763763
2446,67.30226135
2445,67.18334198
2444,67.0386734
2443,66.75814056
2442,66.61827087
2441,66.43488312
2440,66.21720123
2439,66.0659256
2438,65.90396881
2437,65.68494415
2436,65.58875275
2435,65.32668304
2434,65.06915283
2433,65.00497437
2432,64.81762695
2431,64.66023254
2430,64.36030579
2429,64.20137024
2428,64.05167389
2427,63.85194016
2426,63.70677948
2425,63.46759796
2424,63.33590698
2423,63.15621185
2422,62.97784424
2421,62.81654358
2420,62.55554962
2419,62.47053146
2418,62.22711945
2417,62.11727905
2416,61.91849136
2415,61.70320511
2414,61.61944199
2413,61.33080673
2412,61.22496796
2411,60.96923447
2410,60.91402817
2409,60.71747971
2408,60.5125618
2407,60.44641876
2406,60.26407623
2405,60.02731323
2404,59.92751694
2403,59.70109177
2402,59.53255463
2401,59.5184021
2400,59.23978806
2399,59.07815552
2398,58.90329361
2397,58.71468353
2396,58.50175095
2395,58.4320488
2394,58.25844955
2393,58.14457703
2392,58.00528717
2391,57.79816055
2390,57.62253571
2389,57.44578934
2388,57.31555939
2387,57.14825439
2386,56.99237061
2385,56.79395676
2384,56.80531693
2383,56.57635498
2382,56.48876572
2381,56.26811218
2380,56.07658005
2379,55.97529984
2378,55.83778763
2377,55.75128174
2376,55.56868362
2375,55.42520142
2374,55.28892899
2373,55.16220474
2372,54.98324585
2371,54.7016449
2370,54.6503067
2369,54.58119583
2368,54.38563156
2367,54.26590347
2366,54.08681488
2365,54.02368164
2364,53.78509903
2363,53.70848083
2362,53.56011963
2361,53.38237762
2360,53.275383
2359,53.22143555
2358,53.01675034
2357,52.98693848
2356,52.7298317
2355,52.51708603
2354,52.4485817
2353,52.45555496
2352,52.21649551
2351,52.05078888
2350,51.90563965
2349,51.70819855
2348,51.65775299
2347,51.56186676
2346,51.40874481
2345,51.38220215
2344,51.24089813
2343,51.08123016
2342,50.97230148
2341,50.71334076
2340,50.69401169
2339,50.58491135
2338,50.35224533
2337,50.30527878
2336,50.18593216
2335,50.12123489
2334,49.90724945
2333,49.80727005
2332,49.68475342
2331,49.55143738
2330,49.44726181
2329,49.35264969
2328,49.19732666
2327,49.11084747
2326,48.99614716
2325,48.8873291
2324,48.69396973
2323,48.5825386
2322,48.47576141
2321,48.40214539
2320,48.22768021
2319,48.1545105
2318,47.96442032
2317,47.88951492
2316,47.82509232
2315,47.63973236
2314,47.51583481
2313,47.52493668
2312,47.35459518
2311,47.26767349
2310,47.27455521
2309,47.05430222
2308,46.92874146
2307,46.8579483
2306,46.66533279
2305,46.62716293
2304,46.57637024
2303,46.42444611
2302,46.41013718
2301,46.27868652
2300,46.07732391
2299,46.11603928
2298,46.00933075
2297,45.92481995
2296,45.85850525
2295,45.68710327
2294,45.5759964
2293,45.51077271
2292,45.42562866
2291,45.39424515
2290,45.24185181
2289,45.15380096
2288,45.12049103
2287,45.00156784
2286,45.04649353
2285,44.94758224
2284,44.70579147
2283,44.70694351
2282,44.70612335
2281,44.54175949
2280,44.4872818
2279,44.45793152
2278,44.47966385
2277,44.35587692
2276,44.29441833
2275,44.14299011
2274,44.06253815
2273,44.01697159
2272,43.93548203
2271,43.86064148
2270,43.84544373
2269,43.72123337
2268,43.77669907
2267,43.66845322
2266,43.65697479
2265,43.52471161
2264,43.46912384
2263,43.39152908
2262,43.40382385
2261,43.30035019
2260,43.27683258
2259,43.21135712
2258,43.1146965
2257,43.08289719
2256,43.02336884
2255,42.97288132
2254,42.90913773
2253,42.84487534
2252,42.82589722
2251,42.86881256
2250,42.74429703
2249,42.64727783
2248,42.66289139
2247,42.61505508
2246,42.61820221
2245,42.5837326
2244,42.55220032
2243,42.40494156
2242,42.46424866
2241,42.43234634
2240,42.22718811
2239,42.34872818
2238,42.27888489
2237,42.19686127
2236,42.25439072
2235,42.18706894
2234,42.20843887
2233,42.27215958
2232,42.11749268
2231,42.06396484
2230,42.059021
2229,42.01758957
2228,42.05435944
2227,42.00393677
2226,41.99860382
2225,41.98680115
2224,41.99612045
2223,42.01446915
2222,41.95293045
2221,41.90695953
2220,41.97925186
2219,41.92131042
2218,41.9336319
2217,41.92831802
2216,41.96004105
2215,42.00440216
2214,41.88122559
2213,41.86788559
2212,41.9844017
2211,41.8764801
2210,41.94391632
2209,41.95858002
2208,42.07938385
2207,41.99465942
2206,41.9666748
2205,41.94311142
2204,42.00910187
2203,42.03738022
2202,41.92385483
2201,42.0774231
2200,42.01802444
2199,42.1657753
2198,42.12277222
2197,42.18702316
2196,42.16052628
2195,42.29362488
2194,42.2111702
2193,42.28257751
2192,42.28404617
2191,42.34064102
2190,42.35261917
2189,42.36527252
2188,42.37999725
2187,42.43494415
2186,42.46789551
2185,42.51434708
2184,42.54067612
2183,42.54067993
2182,42.71032333
2181,42.58174133
2180,42.77338409
2179,42.69667816
2178,42.80793381
2177,42.82128525
2176,42.83325577
2175,42.98025894
2174,43.05575943
2173,43.09731674
2172,43.11964417
2171,43.12404633
2170,43.15466309
2169,43.29816818
2168,43.28423309
2167,43.3704834
2166,43.4370079
2165,43.52638245
2164,43.59988022
2163,43.71577454
2162,43.6716156
2161,43.86437988
2160,43.89975357
2159,43.9474144
2158,44.03040695
2157,44.11652756
2156,44.26724243
2155,44.29293442
2154,44.37339401
2153,44.45186996
2152,44.57495499
2151,44.77178574
2150,44.73417282
2149,44.79949951
2148,44.90365219
2147,44.94944
2146,45.01107788
2145,45.27616119
2144,45.29706192
2143,45.48763275
2142,45.5835495
2141,45.67741013
2140,45.7823143
2139,45.87216187
2138,46.01845551
2137,46.08280182
2136,46.23428345
2135,46.36088181
2134,46.44246292
2133,46.63023758
2132,46.69647598
2131,46.87498856
2130,46.9709549
2129,47.09093857
2128,47.20286942
2127,47.40197754
2126,47.49268723
2125,47.66321945
2124,47.7357254
2123,47.97134781
2122,48.02400589
2121,48.19015503
2120,48.41583633
2119,48.57619858
2118,48.65829468
2117,48.8054924
2116,49.02206802
2115,49.17164612
2114,49.3441658
2113,49.43030167
2112,49.60876846
2111,49.76911926
2110,49.90009689
2109,50.16650391
2108,50.23505783
2107,50.40846634
2106,50.57282257
2105,50.81528854
2104,50.90423965
2103,51.27832413
2102,51.38210678
2101,51.56465912
2100,51.76039886
2099,51.92210007
2098,52.00485611
2097,52.33604813
2096,52.5695343
2095,52.74091339
2094,52.87823105
2093,53.05310059
2092,53.26472092
2091,53.50188065
2090,53.63838196
2089,53.90794754
2088,54.15682983
2087,54.31376266
2086,54.59105301
2085,54.836483
2084,55.01434326
2083,55.25502396
2082,55.46209335
2081,55.71209717
2080,55.92791367
2079,56.14680481
2078,56.35503387
2077,56.60322952
2076,56.84680176
2075,57.09849548
2074,57.34869385
2073,57.70174408
2072,57.8405838
2071,58.02366257
2070,58.34660339
2069,58.66474915
2068,58.89369202
2067,59.21037674
2066,59.50297546
2065,59.73817825
2064,59.9862175
2063,60.20539856
2062,60.48884583
2061,60.77281952
2060,61.07972336
2059,61.37957001
2058,61.54009628
2057,61.92605591
2056,62.06477356
2055,62.42007446
2054,62.84081268
2053,62.94561005
2052,63.3168869
2051,63.53056335
2050,63.86803818
2049,64.2246933
2048,64.55329895
2047,64.72016907
2046,65.02027893
2045,65.29481506
2044,65.64556122
2043,65.88514709
2042,66.300354
2041,66.62575531
2040,66.86960602
2039,67.17220306
2038,67.3977356
2037,67.71787262
2036,67.90577698
2035,68.43643951
2034,68.79851532
2033,68.96701813
2032,69.31359863
2031,69.56782532
2030,69.81407166
2029,70.11683655
2028,70.48932648
2027,70.78283691
2026,71.03393555
2025,71.44817352
2024,71.66775513
2023,72.07041931
2022,72.38454437
2021,72.63265991
2020,73.0431366
2019,73.25991821
2018,73.62094879
2017,73.9252243
2016,74.1987915
2015,74.49428558
2014,74.85590363
2013,75.06546021
2012,75.38816833
2011,75.69290161
2010,76.00453949
2009,76.28713989
2008,76.61174011
2007,76.878685
2006,77.1046524
2005,77.34688568
2004,77.77487946
2003,77.84243011
2002,78.13187408
2001,78.53675842
2000,78.73556519
1999,79.17745209
1998,79.47106934
1997,79.79127502
1996,80.02599335
1995,80.26009369
1994,80.60308075
1993,80.72119904
1992,80.8985672
1991,81.20128632
1990,81.37758636
1989,81.62077332
1988,81.88496399
1987,82.07280731
1986,82.31768036
1985,82.47103119
1984,82.7232132
1983,82.89480591
1982,82.96869659
1981,83.15214539
1980,83.3885498
1979,83.57904816
1978,83.77373505
1977,83.93576813
1976,83.93894196
1975,84.14772034
1974,84.30163574
1973,84.39031982
1972,84.57060242
1971,84.7215271
1970,84.72922516
1969,84.8649826
1968,84.93109131
1967,85.0645752
1966,85.19765472
1965,85.12058258
1964,85.23783112
1963,85.3514328
1962,85.42985535
1961,85.44082642
1960,85.54756927
1959,85.51667023
1958,85.54814148
1957,85.54624939
1956,85.49263
1955,85.56143188
1954,85.63845825
1953,85.55413055
1952,85.59348297
1951,85.52816772
1950,85.44567108
1949,85.48532867
1948,85.30233002
1947,85.36414337
1946,85.27492523
1945,85.16446686
1944,85.21900177
1943,85.06402588
1942,84.95966339
1941,84.89261627
1940,84.84712219
1939,84.64586639
1938,84.5953598
1937,84.43972778
1936,84.30739594
1935,84.09435272
1934,84.09725189
1933,83.97403717
1932,83.66152954
1931,83.62962341
1930,83.44390106
1929,83.29003143
1928,83.07494354
1927,82.87452698
1926,82.73698425
1925,82.4805069
1924,82.38786316
1923,82.28311157
1922,81.9728241
1921,81.72788239
1920,81.43634796
1919,81.29829407
1918,81.1014328
1917,80.83260345
1916,80.65010071
1915,80.44226074
1914,80.18054962
1913,79.89813232
1912,79.57689667
1911,79.43917847
1910,79.20477295
1909,78.84885406
1908,78.65022278
1907,78.43628693
1906,78.04837799
1905,77.78465271
1904,77.67655182
1903,77.31536865
1902,77.04649353
1901,76.72222137
1900,76.44246674
1899,76.2229538
1898,75.84575653
1897,75.56542206
1896,75.29854584
1895,74.98539734
1894,74.65880585
1893,74.35606384
1892,74.10030365
1891,73.76195526
1890,73.34487152
1889,73.15618896
1888,72.86315918
1887,72.51740265
1886,72.15826416
1885,71.89517212
1884,71.57962799
1883,71.34938812
1882,71.06104279
1881,70.65185547
1880,70.35826111
1879,70.02059937
1878,69.72703552
1877,69.32836151
1876,69.10235596
1875,68.77746582
1874,68.52061462
1873,68.21788788
1872,67.90782928
1871,67.56865692
1870,67.26969147
1869,67.04078674
1868,66.67765808
1867,66.2850647
1866,66.0356369
1865,65.75866699
1864,65.37888336
1863,65.00675201
1862,64.80613708
1861,64.54479218
1860,64.16264343
1859,63.92265701
1858,63.56275177
1857,63.19495392
1856,63.04273605
1855,62.66649246
1854,62.35555267
1853,61.97406769
1852,61.71740723
1851,61.51182556
1850,61.21337509
1849,60.80064774
1848,60.53817749
1847,60.32975388
1846,60.07245636
1845,59.73819351
1844,59.46407318
1843,59.11634445
1842,58.83653641
1841,58.49119568
1840,58.27861404
1839,57.99028397
1838,57.74543381
1837,57.42576599
1836,57.25372314
1835,56.94303513
1834,56.68420029
1833,56.43424225
1832,56.19288254
1831,55.90778732
1830,55.62835312
1829,55.36196136
1828,55.14645386
1827,54.80431747
1826,54.65376282
1825,54.3835144
1824,54.29003143
1823,53.89178848
1822,53.68598557
1821,53.30160141
1820,53.26033401
1819,53.03460312
1818,52.75910568
1817,52.52640915
1816,52.31347656
1815,52.03886795
1814,51.90703964
1813,51.75640488
1812,51.44607544
1811,51.25719452
1810,51.04621506
1809,50.87052155
1808,50.64227676
1807,50.46049881
1806,50.18932724
1805,49.99984741
1804,49.87237167
1803,49.65013123
1802,49.45944214
1801,49.19135284
1800,49.05709457
1799,48.8939743
1798,48.76993561
1797,48.51935959
1796,48.34568787
1795,48.22763062
1794,47.94930649
1793,47.90178299
1792,47.69849014
1791,47.55374527
1790,47.39170074
1789,47.25432205
1788,47.11926651
1787,46.87255478
1786,46.78403854
1785,46.66114426
1784,46.5659256
1783,46.38856888
1782,46.16008377
1781,46.11812592
1780,45.92961121
1779,45.83948898
1778,45.77569199
1777,45.55585098
1776,45.51231384
1775,45.29788971
1774,45.23753357
1773,45.07723236
1772,44.98699188
1771,44.85544968
1770,44.79523087
1769,44.70235062
1768,44.6572113
1767,44.50090408
1766,44.49761963
1765,44.23429489
1764,44.26129532
1763,44.18332291
1762,44.03194427
1761,43.98532867
1760,43.85455322
1759,43.83385849
1758,43.79665756
1757,43.75649643
1756,43.66444397
1755,43.65126038
1754,43.55034256
1753,43.46201706
1752,43.35914612
1751,43.42481995
1750,43.38451767
1749,43.32182312
1748,43.30236053
1747,43.19556808
1746,43.20067596
1745,43.13682938
1744,43.16055298
1743,43.08932877
1742,43.15131378
1741,43.03405762
1740,43.04610825
1739,43.14345169
1738,43.04065704
1737,43.04523849
1736,43.05194473
1735,43.07121277
1734,43.02528
1733,43.08340073
1732,43.03154755
1731,43.06616974
1730,43.00799179
1729,43.13344574
1728,43.14427185
1727,43.20656204
1726,43.17325592
1725,43.21218872
1724,43.23550415
1723,43.42288208
1722,43.33687973
1721,43.42128754
1720,43.50557709
1719,43.43392563
1718,43.52222061
1717,43.62880707
1716,43.76167679
1715,43.72893143
1714,43.95359039
1713,43.85211945
1712,44.1509552
1711,44.13454437
1710,44.24507141
1709,44.26561737
1708,44.46065903
1707,44.46665955
1706,44.53845215
1705,44.74979401
1704,44.7955246
1703,44.94882202
1702,45.20824814
1701,45.27202988
1700,45.32810974
1699,45.54004288
1698,45.62475204
1697,45.7957077
1696,45.88868332
1695,46.05291748
1694,46.28213501
1693,46.37638474
1692,46.56615067
1691,46.76466751
1690,46.89784241
1689,47.15060425
1688,47.27059174
1687,47.4723587
1686,47.71816254
1685,47.88307953
1684,48.09036636
1683,48.38554382
1682,48.57919312
1681,48.81572342
1680,48.9287529
1679,49.2416954
1678,49.54389191
1677,49.78702545
1676,49.95945358
1675,50.27231598
1674,50.5737114
1673,50.74379349
1672,51.09716797
1671,51.33216858
1670,51.64107132
1669,51.99524689
1668,52.21787262
1667,52.47534561
1666,52.79445648
1665,53.11306
1664,53.38044739
1663,53.78508759
1662,54.10590744
1661,54.475914
1660,54.79235077
1659,55.17770004
1658,55.4262085
1657,55.9057312
1656,56.17948151
1655,56.52619553
1654,56.96941757
1653,57.33663559
1652,57.69738007
1651,58.09650421
1650,58.52562714
1649,58.93093491
1648,59.25094604
1647,59.83107758
1646,60.13834
1645,60.63588715
1644,61.03712845
1643,61.44859314
1642,61.94164658
1641,62.31142807
1640,62.7404213
1639,63.28219223
1638,63.69159698
1637,64.17567444
1636,64.60163879
1635,65.11187744
1634,65.48299408
1633,65.99098206
1632,66.37831879
1631,66.89241791
1630,67.41075897
1629,67.90055847
1628,68.29198456
1627,68.74510956
1626,69.23147583
1625,69.75608826
1624,70.21333313
1623,70.64129639
1622,71.14845276
1621,71.63661957
1620,72.11045837
1619,72.46679688
1618,73.00258636
1617,73.4959259
1616,73.95917511
1615,74.34623718
1614,74.88195038
1613,75.18877411
1612,75.67307281
1611,76.04534149
1610,76.51718903
1609,76.92694855
1608,77.35292053
1607,77.81248474
1606,78.15486145
1605,78.5826416
1604,78.92086792
1603,79.18451691
1602,79.56629181
1601,79.82372284
1600,80.14030457
1599,80.51922607
1598,80.87982178
1597,81.07875061
1596,81.38059235
1595,81.69270325
1594,81.87350464
1593,82.18556976
1592,82.42359924
1591,82.56178284
1590,82.81425476
1589,82.95204926
1588,83.16100311
1587,83.20240021
1586,83.39904785
1585,83.53401184
1584,83.56832886
1583,83.66836548
1582,83.75669098
1581,83.81230927
1580,83.74791718
1579,83.88978577
1578,83.75585938
1577,83.87934875
1576,83.77068329
1575,83.71730042
1574,83.55075073
1573,83.55961609
1572,83.46858215
1571,83.30675507
1570,83.18734741
1569,83.09762573
1568,83.0008316
1567,82.84660339
1566,82.46620178
1565,82.35752106
1564,82.13172913
1563,81.9347229
1562,81.64051056
1561,81.44818878
1560,81.07121277
1559,80.95262909
1558,80.64299011
1557,80.29979706
1556,79.99080658
1555,79.65263367
1554,79.36103821
1553,78.95452881
1552,78.65857697
1551,78.30924225
1550,77.9671936
1549,77.60691833
1548,77.19851685
1547,76.79262543
1546,76.45300293
1545,76.07344818
1544,75.70371246
1543,75.24098206
1542,74.88494873
1541,74.36476898
1540,73.96582794
1539,73.57524872
1538,73.15105438
1537,72.63974762
1536,72.23119354
1535,71.7979126
1534,71.49209595
1533,70.92317963
1532,70.43101501
1531,70.04898834
1530,69.58753204
1529,69.12674713
1528,68.70401764
1527,68.19143677
1526,67.78993225
1525,67.32334137
1524,66.90895844
1523,66.4417038
1522,66.03138733
1521,65.52017975
1520,65.17218781
1519,64.67626953
1518,64.23479462
1517,63.85894012
1516,63.32294846
1515,62.97101974
1514,62.57427979
1513,62.09238052
1512,61.73263168
1511,61.26319122
1510,60.78628159
1509,60.4443779
1508,60.0357933
1507,59.49671936
1506,59.22359085
1505,58.81645584
1504,58.42759705
1503,57.88805389
1502,57.50634766
1501,57.22960281
1500,56.92861176
1499,56.37718582
1498,56.034935
1497,55.61486053
1496,55.37942505
1495,55.02309036
1494,54.66590118
1493,54.26932526
1492,53.92929459
1491,53.60205078
1490,53.29100037
1489,52.97390366
1488,52.70361328
1487,52.35364914
1486,52.0700264
1485,51.78704834
1484,51.33963776
1483,51.1679039
1482,50.79022217
1481,50.50849152
1480,50.34598541
1479,49.96888351
1478,49.74739075
1477,49.47761154
1476,49.16682434
1475,48.98579788
1474,48.62694168
1473,48.44595337
1472,48.09988022
1471,47.95124435
1470,47.67523575
1469,47.50488663
1468,47.2837677
1467,47.11820602
1466,46.89562225
1465,46.6557579
1464,46.52624512
1463,46.24907303
1462,46.22747803
1461,45.97868347
1460,45.78252792
1459,45.71416473
1458,45.5454216
1457,45.34124756
1456,45.36056519
1455,44.98950958
1454,44.93631744
1453,44.70675278
1452,44.62071228
1451,44.51981354
1450,44.44513702
1449,44.29980087
1448,44.24755096
1447,44.09458923
1446,44.0896225
1445,43.92870712
1444,43.93191528
1443,43.83712769
1442,43.7787323
1441,43.64471436
1440,43.65251923
1439,43.60838699
1438,43.60892868
1437,43.59388733
1436,43.59891891
1435,43.55243683
1434,43.57380676
1433,43.62562561
1432,43.55474854
1431,43.62620544
1430,43.61281586
1429,43.6086731
1428,43.65751266
1427,43.74218369
1426,43.82065582
1425,43.80377197
1424,43.81665421
1423,43.96868134
1422,44.03448486
1421,44.19264984
1420,44.26646042
1419,44.36630249
1418,44.45311356
1417,44.66610336
1416,44.76694107
1415,44.86643982
1414,44.98587418
1413,45.19365692
1412,45.35235977
1411,45.60459137
1410,45.76333618
1409,46.00175858
1408,46.13677597
1407,46.44712067
1406,46.65682983
1405,46.96934509
1404,47.15804672
1403,47.46409225
1402,47.7146225
1401,47.93597412
1400,48.22021484
1399,48.64710999
1398,48.97890091
1397,49.26691818
1396,49.61816788
