sample1,
Wavelength (nm),%T
1800,12.97908401
1799,13.27469921
1798,13.47827721
1797,13.68727684
1796,13.99246788
1795,14.27170372
1794,14.52122593
1793,14.87510014
1792,15.09261131
1791,15.37254906
1790,15.74082088
1789,16.05958748
1788,16.38328362
1787,16.61924934
1786,16.93797493
1785,17.2604084
1784,17.63602066
1783,17.99381447
1782,18.29610062
1781,18.66541862
1780,19.06348801
1779,19.37946701
1778,19.78323746
1777,20.27684402
1776,20.63232422
1775,20.99589348
1774,21.36762238
1773,21.75846481
1772,22.22579765
1771,22.57708359
1770,23.05491066
1769,23.42835236
1768,23.82964134
1767,24.23034096
1766,24.70244026
1765,25.11281586
1764,25.48709488
1763,25.9454422
1762,26.30787849
1761,26.78022003
1760,27.14037323
1759,27.50157166
1758,27.92879295
1757,28.38293076
1756,28.68493462
1755,29.00615311
1754,29.42821312
1753,29.69973946
1752,30.06808472
1751,30.31995392
1750,30.68392563
1749,30.91463089
1748,31.20051003
1747,31.4732399
1746,31.6832962
1745,31.82631493
1744,32.00526428
1743,32.15392685
1742,32.26990509
1741,32.37631226
1740,32.47605896
1739,32.55992126
1738,32.58272552
1737,32.59936905
1736,32.51329803
1735,32.57318115
1734,32.48970032
1733,32.41202545
1732,32.23031235
1731,32.25379181
1730,32.14030838
1729,31.87091064
1728,31.71555328
1727,31.48888588
1726,31.34716415
1725,31.09593391
1724,30.89390755
1723,30.65271378
1722,30.38806343
1721,30.04104424
1720,29.71102333
1719,29.4952507
1718,29.04677773
1717,28.72457504
1716,28.45314407
1715,28.1181221
1714,27.76606369
1713,27.37088585
1712,27.02640533
1711,26.67309952
1710,26.35621643
1709,26.02640343
1708,25.61973572
1707,25.19100952
1706,24.85504532
1705,24.43134499
1704,24.1914978
1703,23.82265091
1702,23.38529015
1701,23.14215851
1700,22.7270031
1699,22.37463379
1698,22.08094978
1697,21.64834595
1696,21.36370468
1695,20.93409157
1694,20.75770569
1693,20.3936367
1692,20.00188446
1691,19.73821068
1690,19.41304779
1689,19.19243813
1688,18.79837036
1687,18.54988861
1686,18.25871086
1685,17.88360405
1684,17.61626434
1683,17.3684864
1682,17.18848419
1681,16.92896461
1680,16.66628075
1679,16.28931236
1678,16.072155
1677,15.87128639
1676,15.6678009
1675,15.42808247
1674,15.28510761
1673,14.98812866
1672,14.73547077
1671,14.44677162
1670,14.36539173
1669,14.15864372
1668,13.97643852
1667,13.81492615
1666,13.57931614
1665,13.37442875
1664,13.22101974
1663,13.13508129
1662,12.89043903
1661,12.73619938
1660,12.63164425
1659,12.4632988
1658,12.29469967
1657,12.1763258
1656,12.09456062
1655,11.93939686
1654,11.82059383
1653,11.799613
1652,11.52669525
1651,11.41077995
1650,11.3724308
1649,11.23652458
1648,11.09372044
1647,10.99598026
1646,10.90698814
1645,10.92915249
1644,10.66238499
1643,10.61966515
1642,10.58670235
1641,10.46269417
1640,10.34370708
1639,10.27064228
1638,10.22465324
1637,10.17799854
1636,10.10172081
1635,10.03822899
1634,9.994901657
1633,9.892439842
1632,9.873827934
1631,9.753630638
1630,9.722846031
1629,9.661463737
1628,9.619529724
1627,9.615410805
1626,9.610349655
1625,9.499225616
1624,9.509643555
1623,9.474622726
1622,9.440202713
1621,9.367338181
1620,9.314354897
1619,9.311234474
1618,9.328152657
1617,9.210920334
1616,9.283926964
1615,9.139335632
1614,9.259809494
1613,9.27878952
1612,9.137706757
1611,9.192422867
1610,9.129945755
1609,9.127462387
1608,9.121120453
1607,9.143203735
1606,9.171405792
1605,9.166885376
1604,9.193384171
1603,9.160053253
1602,9.185281754
1601,9.16919899
1600,9.262924194
1599,9.174272537
1598,9.18358326
1597,9.298427582
1596,9.283744812
1595,9.34005928
1594,9.346585274
1593,9.468183517
1592,9.453625679
1591,9.386091232
1590,9.424044609
1589,9.510967255
1588,9.582727432
1587,9.589509964
1586,9.62726593
1585,9.593539238
1584,9.741202354
1583,9.834079742
1582,9.928004265
1581,9.902694702
1580,10.02141476
1579,10.03293037
1578,10.17332554
1577,10.21969509
1576,10.29991913
1575,10.35009098
1574,10.52305412
1573,10.59003067
1572,10.57163429
1571,10.71571445
1570,10.80727386
1569,10.92844868
1568,11.03752422
1567,11.2416296
1566,11.30019379
1565,11.32998276
1564,11.53094101
1563,11.55337429
1562,11.74625301
1561,11.908391
1560,12.07720757
1559,12.16342258
1558,12.37423229
1557,12.55872536
1556,12.7071991
1555,12.78773499
1554,12.99882412
1553,13.20594883
1552,13.35028839
1551,13.62643051
1550,13.81553268
1549,13.99389935
1548,14.1363163
1547,14.44715595
1546,14.68583488
1545,14.9210062
1544,15.14835167
1543,15.45842934
1542,15.67395496
1541,15.91944695
1540,16.20578194
1539,16.56279755
1538,16.80023003
1537,17.16285706
1536,17.49005699
1535,17.88092613
1534,18.15550232
1533,18.50332642
1532,18.89509201
1531,19.30848312
1530,19.73688507
1529,20.14336967
1528,20.43948555
1527,20.95008278
1526,21.38633728
1525,21.87639809
1524,22.34439468
1523,22.87649727
1522,23.42432785
1521,23.91535378
1520,24.44641495
1519,25.00053406
1518,25.60285568
1517,26.17032814
1516,26.84127045
1515,27.47948456
1514,28.08076477
1513,28.73240471
1512,29.351017
1511,30.16576195
1510,30.84406471
1509,31.58323669
1508,32.29226685
1507,33.03128815
1506,33.78561783
1505,34.55962753
1504,35.39334106
1503,36.17065811
1502,36.94271851
1501,37.74700928
1500,38.53956604
1499,39.35951233
1498,40.20186615
1497,40.94165802
1496,41.74720764
1495,42.4858017
1494,43.21685791
1493,44.00810242
1492,44.78502655
1491,45.36733627
1490,46.0572052
1489,46.80855179
1488,47.2758255
1487,47.90958405
1486,48.48286438
1485,48.99325943
1484,49.34011841
1483,49.84685516
1482,50.11552048
1481,50.50035095
1480,50.78401566
1479,50.97164536
1478,51.14247894
1477,51.26788712
1476,51.22167587
1475,51.24211884
1474,51.2415123
1473,51.05289078
1472,50.81518173
1471,50.74351883
1470,50.48815155
1469,50.28555298
1468,49.85163116
1467,49.50160217
1466,49.07356262
1465,48.59207153
1464,48.18849945
1463,47.64867401
1462,47.14460754
1461,46.59044266
1460,46.01968765
1459,45.44622421
1458,44.83395004
1457,44.19747162
1456,43.5619278
1455,42.89127731
1454,42.27579117
1453,41.60728455
1452,41.03320694
1451,40.35720444
1450,39.72706223
1449,39.03798676
1448,38.34139633
1447,37.61649704
1446,37.06754684
1445,36.41536331
1444,35.80294418
1443,35.11473083
1442,34.55586624
1441,33.99447632
1440,33.42034531
1439,32.77907562
1438,32.18936157
1437,31.60714149
1436,31.14377022
1435,30.59928513
1434,30.00453949
1433,29.52770233
1432,29.03565979
1431,28.55243301
1430,28.13044739
1429,27.64764214
1428,27.24090576
1427,26.73875046
1426,26.34200668
1425,25.94610214
1424,25.60912895
1423,25.17651558
1422,24.80872345
1421,24.55212975
1420,24.12010002
1419,23.86603165
1418,23.48705673
1417,23.18736649
1416,22.82694435
1415,22.65427589
1414,22.3049202
1413,22.04338074
1412,21.78909492
1411,21.59229088
1410,21.27879143
1409,21.12166214
1408,20.82732582
1407,20.71848679
1406,20.50761795
1405,20.17577171
1404,20.14777565
1403,19.95437241
1402,19.82867622
1401,19.69260406
1400,19.37514305
1399,19.39079666
1398,19.2376442
1397,19.15368652
1396,19.01776314
1395,18.91933441
1394,18.79803467
1393,18.76395226
1392,18.66496277
1391,18.56456757
1390,18.47976685
1389,18.39813614
1388,18.4607563
1387,18.35896301
1386,18.33237457
1385,18.287323
1384,18.25821304
1383,18.2629528
1382,18.23559952
1381,18.26980782
1380,18.21097946
1379,18.23144913
1378,18.33736038
1377,18.33106041
1376,18.3759594
1375,18.39655304
1374,18.42263412
1373,18.46329498
1372,18.59613419
1371,18.54655075
1370,18.72048569
1369,18.79284859
1368,18.89363289
1367,18.9731636
1366,19.04641342
1365,19.23253059
1364,19.32403374
1363,19.47452545
1362,19.57103348
1361,19.7787075
1360,19.96948433
1359,20.09705544
1358,20.29121971
1357,20.43821716
1356,20.75564194
1355,20.91151047
1354,21.11242485
1353,21.32690048
1352,21.60464287
1351,21.874506
1350,22.09261131
1349,22.43745422
1348,22.67195511
1347,22.98349953
1346,23.27652931
1345,23.62447166
1344,23.94595909
1343,24.29926682
1342,24.63798904
1341,25.10938644
1340,25.47626495
1339,25.93294334
1338,26.39110184
1337,26.83951187
1336,27.32819939
1335,27.8133831
1334,28.35319138
1333,28.85570908
1332,29.41101456
1331,30.06486511
1330,30.62083054
1329,31.27873611
1328,31.8770256
1327,32.58330917
1326,33.28152084
1325,33.89699936
1324,34.69042969
1323,35.48474121
1322,36.168396
1321,37.0321846
1320,37.81705856
1319,38.62940979
1318,39.44075012
1317,40.3638649
1316,41.33593369
1315,42.26990128
1314,43.16385269
1313,44.09589386
1312,45.14852905
1311,46.08629227
1310,47.08666992
1309,48.12534332
1308,49.01864624
1307,50.10189438
1306,51.11612701
1305,52.17569351
1304,53.2221489
1303,54.14107513
1302,55.12839127
1301,56.08054352
1300,57.02567673
1299,57.88542175
1298,58.74241638
1297,59.5354538
1296,60.29674911
1295,61.00460434
1294,61.72328568
1293,62.33896637
1292,62.95899582
1291,63.32761002
1290,63.79709244
1289,64.07368469
1288,64.4017334
1287,64.62120056
1286,64.69458771
1285,64.7488327
1284,64.66694641
1283,64.67289734
1282,64.50165558
1281,64.33327484
1280,64.03198242
1279,63.58296967
1278,63.24547958
1277,62.63083267
1276,62.23901367
1275,61.58807373
