WAVELENGTH (nm),AM 1.5 G,Energy(eV),Photon Flux (Photons*cm^-2*Sec^-1),,,
280,4.73E-23,4.428571429,6.68E-09,,,
280.5,1.23E-21,4.420677362,1.74E-07,,,
281,5.69E-21,4.412811388,8.06E-07,,,
281.5,1.57E-19,4.404973357,2.23E-05,,,
282,1.19E-18,4.397163121,1.69E-04,,,
282.5,4.54E-18,4.389380531,6.46E-04,,,
283,1.85E-17,4.381625442,2.64E-03,,,
283.5,3.54E-17,4.373897707,5.06E-03,,,
284,7.27E-16,4.366197183,1.04E-01,,,
284.5,2.49E-15,4.358523726,3.57E-01,,,
285,8.01E-15,4.350877193,1.15E+00,,,
285.5,4.26E-14,4.343257443,6.13E+00,,,
286,1.37E-13,4.335664336,1.97E+01,,,
286.5,8.38E-13,4.328097731,1.21E+02,,,
287,2.74E-12,4.320557491,3.96E+02,,,
287.5,1.09E-11,4.313043478,1.58E+03,,,
288,6.23E-11,4.305555556,9.04E+03,,,
288.5,1.72E-10,4.298093588,2.50E+04,,,
289,5.63E-10,4.290657439,8.20E+04,,,
289.5,2.07E-09,4.283246978,3.02E+05,,,
290,6.02E-09,4.275862069,8.80E+05,,,
290.5,1.38E-08,4.268502582,2.02E+06,,,
291,3.51E-08,4.261168385,5.15E+06,,,
291.5,1.09E-07,4.253859348,1.60E+07,,,
292,2.68E-07,4.246575342,3.94E+07,,,
292.5,4.27E-07,4.239316239,6.30E+07,,,
293,8.65E-07,4.232081911,1.28E+08,,,
293.5,2.27E-06,4.224872232,3.36E+08,,,
294,4.17E-06,4.217687075,6.18E+08,,,
294.5,6.59E-06,4.210526316,9.78E+08,,,
295,0.00001229,4.203389831,1.83E+09,,,
295.5,0.000027826,4.196277496,4.14E+09,,,
296,0.000047904,4.189189189,7.15E+09,,,
296.5,0.000071345,4.182124789,1.07E+10,,,
297,0.0000968,4.175084175,1.45E+10,,,
297.5,0.00018608,4.168067227,2.79E+10,,,
298,0.00028988,4.161073826,4.35E+10,,,
298.5,0.00035789,4.154103853,5.38E+10,,,
299,0.00049211,4.147157191,7.42E+10,,,
299.5,0.00086068,4.140233723,1.30E+11,,,
300,0.0010205,4.133333333,1.54E+11,,,
300.5,0.001245,4.126455907,1.89E+11,,,
301,0.00193,4.119601329,2.93E+11,,,
301.5,0.0026914,4.112769486,4.09E+11,,,
302,0.0029209,4.105960265,4.45E+11,,,
302.5,0.004284,4.099173554,6.53E+11,,,
303,0.0070945,4.092409241,1.08E+12,,,
303.5,0.0089795,4.085667216,1.37E+12,,,
304,0.0094701,4.078947368,1.45E+12,,,
304.5,0.011953,4.072249589,1.83E+12,,,
305,0.016463,4.06557377,2.53E+12,,,
305.5,0.018719,4.058919804,2.88E+12,,,
306,0.018577,4.052287582,2.87E+12,,,
306.5,0.021108,4.045676998,3.26E+12,,,
307,0.027849,4.039087948,4.31E+12,,,
307.5,0.035635,4.032520325,5.52E+12,,,
308,0.037837,4.025974026,5.87E+12,,,
308.5,0.04143,4.019448947,6.44E+12,,,
309,0.040534,4.012944984,6.31E+12,,,
309.5,0.043306,4.006462036,6.76E+12,,,
310,0.050939,4,7.96E+12,,,
310.5,0.06554,3.993558776,1.03E+13,,,
311,0.082922,3.987138264,1.30E+13,,,
311.5,0.08408,3.980738363,1.32E+13,,,
312,0.093376,3.974358974,1.47E+13,,,
312.5,0.098984,3.968,1.56E+13,,,
313,0.10733,3.961661342,1.69E+13,,,
313.5,0.10757,3.955342903,1.70E+13,,,
314,0.11969,3.949044586,1.89E+13,,,
314.5,0.1306,3.942766296,2.07E+13,,,
315,0.13625,3.936507937,2.16E+13,,,
