Wavelength (nm),%T,%R
800,66.31987,6.264761925
799,66.332901,6.17364645
798,66.36676025,6.074802876
797,66.38671112,5.983398438
796,66.41790771,5.89907217
795,66.44017792,5.809394836
794,66.4458847,5.72866869
793,66.45515442,5.643272877
792,66.46464539,5.561792374
791,66.46781921,5.479197025
790,66.46103668,5.407208443
789,66.45969391,5.338429451
788,66.46351624,5.264254093
787,66.45295715,5.194026947
786,66.44594574,5.127893925
785,66.44392395,5.073679447
784,66.40180969,5.02116251
783,66.39385223,4.96389246
782,66.37124634,4.91365099
781,66.32171631,4.867565155
780,66.29444122,4.830270767
779,66.24377441,4.794270515
778,66.19465637,4.768277168
777,66.15044403,4.739490032
776,66.09035492,4.721190929
775,66.0219574,4.70650959
774,65.94397736,4.697303295
773,65.87241364,4.692160606
772,65.78941345,4.700301647
771,65.70907593,4.707723618
770,65.60771179,4.726502895
769,65.49639893,4.747476578
768,65.40499115,4.774890423
767,65.28887939,4.812522411
766,65.18370056,4.854565144
765,65.04904938,4.90669775
764,64.92537689,4.961990833
763,64.79647064,5.024713039
762,64.65180206,5.098433971
761,64.49354553,5.172432899
760,64.34248352,5.25669384
759,64.18196869,5.35138464
758,64.01572418,5.450003147
757,63.85490799,5.559463024
756,63.68412781,5.669432163
755,63.50097656,5.786724567
754,63.30033493,5.910703182
753,63.12767792,6.047047138
752,62.92326355,6.18211031
751,62.72637177,6.321729183
750,62.52060699,6.470379353
749,62.32555008,6.623025417
748,62.11893082,6.786076546
747,61.89785767,6.958420753
746,61.69425201,7.123233318
745,61.46800613,7.302673817
744,61.25294495,7.467952251
743,61.03878784,7.651805878
742,60.808815,7.829757214
741,60.59459305,8.009449005
740,60.38421249,8.20010376
739,60.14827347,8.383094788
738,59.93654251,8.566362381
737,59.72407532,8.748435974
736,59.50695419,8.939800262
735,59.29328156,9.121843338
734,59.08471298,9.312860489
733,58.87863541,9.487668037
732,58.66937637,9.661998749
731,58.4714241,9.833457947
730,58.27897263,10.00841522
729,58.09123993,10.1711874
728,57.9029274,10.32051373
727,57.7252388,10.47009659
726,57.55331039,10.62255764
725,57.38093948,10.75671101
724,57.22972107,10.88037109
723,57.07564545,10.99508572
722,56.92792511,11.10153866
721,56.79029083,11.21082497
720,56.65782547,11.29255486
719,56.54639435,11.36736679
718,56.43871307,11.42670345
717,56.33569336,11.48947906
716,56.23347855,11.52775097
715,56.14796829,11.5338583
714,56.08003616,11.55966091
713,56.01908493,11.55587006
712,55.96060944,11.53635788
711,55.90828705,11.51620102
710,55.86342239,11.46859646
709,55.84394455,11.4065752
708,55.81642532,11.32749557
707,55.80812073,11.23318195
706,55.80904388,11.12468719
705,55.80974197,11.01556778
704,55.82022858,10.87805271
703,55.83905029,10.72663116
702,55.8631134,10.55995941
701,55.89174652,10.38123703
700,55.92148209,10.19050789
699,55.96941757,9.99963665
698,56.01718903,9.79683876
697,56.05606461,9.556807518
696,56.10948944,9.33564949
695,56.15752792,9.078701973
694,56.19356537,8.830596924
693,56.24638367,8.586836815
692,56.29273605,8.328925133
691,56.33082962,8.064212799
690,56.36103058,7.802423
689,56.38307953,7.546105385
688,56.40183258,7.284437656
687,56.41913986,7.028049946
686,56.40488434,6.778524876
685,56.39627075,6.534889221
684,56.37041855,6.306400776
683,56.32461929,6.089663029
682,56.26848221,5.879893303
681,56.19181824,5.697486401
680,56.09927368,5.524634361
679,55.98386383,5.374111176
678,55.86097336,5.243759632
677,55.69949341,5.141190529
676,55.52768707,5.060164928
675,55.33106995,5.000860214
674,55.12475204,4.969096661
