Wavelength (nm),QE,
400,65.59,
410,68.93,
420,71.82,
430,74.88,
440,76.56,
450,77.55,
460,78.78,
470,79.79,
480,80.80,
490,81.40,
500,81.98,
510,81.90,
520,82.28,
530,82.37,
540,82.44,
550,82.50,
560,82.45,
570,82.33,
580,82.26,
590,82.00,
600,81.73,
610,81.71,
620,81.40,
630,81.13,
640,80.79,
650,80.48,
660,80.18,
670,80.06,
680,79.74,
690,79.49,
700,79.19,
710,78.87,
720,78.62,
730,78.36,
740,78.11,
750,77.71,
760,77.33,
770,77.33,
780,76.93,
790,76.68,
800,76.23,
810,75.91,
820,75.73,
830,75.51,
840,75.12,
850,74.89,
860,74.68,
870,74.36,
880,74.14,
890,73.61,
900,73.19,
910,72.77,
920,72.23,
930,71.89,
940,71.23,
950,70.21,
960,69.46,
970,68.11,
980,66.57,
990,64.98,
1000,63.19,
1010,60.47,
1020,57.34,
1030,53.46,
1040,48.70,
1050,43.18,
1060,36.46,
1070,30.74,
1080,25.93,
1090,21.50,
1100,17.50,
